case_id,root,initial_phase,variant,family,depth,break_index,mechanics,expected_support,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
28,2700000,7,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
28,2700000,7,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
29,2700000,8,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
29,2700000,8,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
30,2700000,9,complete_d2,complete,2,none,reference,1|1,0|0,0|0,qualified,0,0,4,6,5,1,0,0,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,745ca5f6b7086fcd151cf83ca51b493ef6a4c0715e52958e9453f3dae4d6e2db,1,1
30,2700000,9,complete_d2,complete,2,none,production,1|1,0|0,0|0,qualified,0,0,4,6,5,1,0,0,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,745ca5f6b7086fcd151cf83ca51b493ef6a4c0715e52958e9453f3dae4d6e2db,1,1
31,2800000,0,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
31,2800000,0,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
32,2800000,1,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
32,2800000,1,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
33,2800000,2,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
33,2800000,2,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
34,2800000,3,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
34,2800000,3,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
35,2800000,4,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
35,2800000,4,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
36,2800000,5,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
36,2800000,5,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
37,2800000,6,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
37,2800000,6,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
38,2800000,7,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
38,2800000,7,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
39,2800000,8,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
39,2800000,8,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,d977459bfb7dd6059386aebcfae508c00b1f62de49150989e8a8b5efc689ecdc,1,1
40,2800000,9,complete_d2,complete,2,none,reference,1|1,0|0,0|0,qualified,0,0,4,6,5,1,0,0,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,39cc00c8c294d4fed4234892ca52b940d2e91435b74e0814b562ce8660af0f93,1,1
40,2800000,9,complete_d2,complete,2,none,production,1|1,0|0,0|0,qualified,0,0,4,6,5,1,0,0,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,39cc00c8c294d4fed4234892ca52b940d2e91435b74e0814b562ce8660af0f93,1,1
41,2700000,0,complete_d4,complete,4,none,reference,1|1|1|1,4026531840|4026531840|4026531840|4026531840,4026531840|4026531840|4026531840|4026531840,qualified|qualified|qualified,1,3,6,18,7,4,4,0,0,3,1,1,044e2ba554e9f7badc1b7464aaf95708e24f22fa0c1f0df19d6d459009cd5f7d,9d2984d8d5ec2c41ab1d0c74b31f2ebaa1ba003fb2ef1658916492091e23fa6c,1,1
41,2700000,0,complete_d4,complete,4,none,production,1|1|1|1,4026531840|4026531840|4026531840|4026531840,4026531840|4026531840|4026531840|4026531840,qualified|qualified|qualified,1,3,6,18,7,4,4,0,0,3,1,1,044e2ba554e9f7badc1b7464aaf95708e24f22fa0c1f0df19d6d459009cd5f7d,9d2984d8d5ec2c41ab1d0c74b31f2ebaa1ba003fb2ef1658916492091e23fa6c,1,1
42,2700000,1,complete_d4,complete,4,none,reference,1|1|1|1,4026531840|4026531840|4026531840|4026531840,4026531840|4026531840|4026531840|4026531840,qualified|qualified|qualified,1,3,6,18,7,4,4,0,0,3,2,2,8aa2a6a455bdadc324ea4cefaa34c784557ce09b4af2229fd3ed02c6731f70df,9d2984d8d5ec2c41ab1d0c74b31f2ebaa1ba003fb2ef1658916492091e23fa6c,1,1
