case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
16,2600000,5,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
17,2600000,6,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
17,2600000,6,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
18,2600000,7,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
18,2600000,7,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
19,2600000,8,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
19,2600000,8,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
20,2600000,9,positive_one_hop,reference,0|0,0|0,qualified,0,0,4,6,5,1,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,c5f39e36d88a5569496bcfce1d6c27666db9e85049e139ea2bcd028a67d84ad3,1,1
20,2600000,9,positive_one_hop,production,0|0,0|0,qualified,0,0,4,6,5,1,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,c5f39e36d88a5569496bcfce1d6c27666db9e85049e139ea2bcd028a67d84ad3,1,1
21,2500000,0,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,0,0,f18a7f172809a7eacaffff21ed16f10163b43f69925f3767a14a698a60851a8f,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
21,2500000,0,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,0,0,f18a7f172809a7eacaffff21ed16f10163b43f69925f3767a14a698a60851a8f,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
22,2500000,1,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,1,1,eb0282c52a11e7c467f0a5d55d4d0117bcd2b3348c5ca738bb4d662a3b07539b,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
