case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
20,1300000,1,c6_reverse_order,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,eab3644f0dcbfcc7d7d9a5d28cef7d1babaa32ac7b3cb5c3c7a0b3a2ec3a6600,e34a785e5ef9d2371a309e1220a011f41a4e51e6905da2501266f1f14d7e02c2,1
21,1300000,1,c6_timing_offset,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,4f8d2d7e64cf4d45d4cc3111c327241e3c5219a9f13e9efb7df1d21c38fe5920,39384aba92c0f9453740aac01a80bf469d2efe75a9bdeedd98c0fc56e7c501ee,1
21,1300000,1,c6_timing_offset,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,4f8d2d7e64cf4d45d4cc3111c327241e3c5219a9f13e9efb7df1d21c38fe5920,39384aba92c0f9453740aac01a80bf469d2efe75a9bdeedd98c0fc56e7c501ee,1
22,1300000,1,c7_contact_fanout,reference,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,1,1,33cee5ced3b52d4d243a534721d767fbc64ac2bb3f785ea80e6828d479da5b1d,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
22,1300000,1,c7_contact_fanout,production,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,1,1,33cee5ced3b52d4d243a534721d767fbc64ac2bb3f785ea80e6828d479da5b1d,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
23,1300000,2,old_source_local,reference,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,2,2,e71ddff89293463eb300487aac3adfae30f98a5c4eb5b43a0ab4cc23bebc76aa,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
23,1300000,2,old_source_local,production,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,2,2,e71ddff89293463eb300487aac3adfae30f98a5c4eb5b43a0ab4cc23bebc76aa,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
24,1300000,2,c0_contact_a,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,fe339284b116588472ee86cd91b49045b84bacb57cf1053a69399eab2caa49c9,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
24,1300000,2,c0_contact_a,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,fe339284b116588472ee86cd91b49045b84bacb57cf1053a69399eab2caa49c9,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
25,1300000,2,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,2,2,38762a30a375954b0f0d41a20ab7b67f5e19d1e6e7d72912d2f8d44fa264f0d9,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
