case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
33,v2_anchor_identity_slot_permutation,7600001,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
34,v2_anchor_only_control,7600001,1,reference,true,true,true,,0,0,0,0,0,0,0,11,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
34,v2_anchor_only_control,7600001,1,production,true,true,true,,0,0,0,0,0,0,0,11,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
35,gate_e_positive_consequence,7600001,1,reference,true,true,true,,2,4,2,1,2,21,27,13,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
35,gate_e_positive_consequence,7600001,1,production,true,true,true,,2,4,2,1,2,21,27,13,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
36,v2_anchor_identity_slot_permutation,7600001,1,reference,true,true,true,,2,4,2,1,2,21,27,13,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
36,v2_anchor_identity_slot_permutation,7600001,1,production,true,true,true,,2,4,2,1,2,21,27,13,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
37,v2_anchor_only_control,7600001,2,reference,true,true,true,,0,0,0,0,0,0,0,12,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
37,v2_anchor_only_control,7600001,2,production,true,true,true,,0,0,0,0,0,0,0,12,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
38,gate_e_positive_consequence,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
38,gate_e_positive_consequence,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
39,v2_anchor_identity_slot_permutation,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
39,v2_anchor_identity_slot_permutation,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
40,v2_anchor_only_control,7600001,3,reference,true,true,true,,0,0,0,0,0,0,0,13,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
40,v2_anchor_only_control,7600001,3,production,true,true,true,,0,0,0,0,0,0,0,13,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
41,gate_e_positive_consequence,7600001,3,reference,true,true,true,,2,4,2,1,2,21,27,15,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
41,gate_e_positive_consequence,7600001,3,production,true,true,true,,2,4,2,1,2,21,27,15,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
42,v2_anchor_identity_slot_permutation,7600001,3,reference,true,true,true,,2,4,2,1,2,21,27,15,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
42,v2_anchor_identity_slot_permutation,7600001,3,production,true,true,true,,2,4,2,1,2,21,27,15,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
43,v2_anchor_only_control,7600001,4,reference,true,true,true,,0,0,0,0,0,0,0,14,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
43,v2_anchor_only_control,7600001,4,production,true,true,true,,0,0,0,0,0,0,0,14,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
44,gate_e_positive_consequence,7600001,4,reference,true,true,true,,2,4,2,1,2,21,27,16,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
44,gate_e_positive_consequence,7600001,4,production,true,true,true,,2,4,2,1,2,21,27,16,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
45,v2_anchor_identity_slot_permutation,7600001,4,reference,true,true,true,,2,4,2,1,2,21,27,16,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
45,v2_anchor_identity_slot_permutation,7600001,4,production,true,true,true,,2,4,2,1,2,21,27,16,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
46,v2_anchor_only_control,7600001,5,reference,true,true,true,,0,0,0,0,0,0,0,15,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
46,v2_anchor_only_control,7600001,5,production,true,true,true,,0,0,0,0,0,0,0,15,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
47,gate_e_positive_consequence,7600001,5,reference,true,true,true,,2,4,2,1,2,21,27,17,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
47,gate_e_positive_consequence,7600001,5,production,true,true,true,,2,4,2,1,2,21,27,17,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
48,v2_anchor_identity_slot_permutation,7600001,5,reference,true,true,true,,2,4,2,1,2,21,27,17,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
48,v2_anchor_identity_slot_permutation,7600001,5,production,true,true,true,,2,4,2,1,2,21,27,17,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
49,v2_anchor_only_control,7600001,6,reference,true,true,true,,0,0,0,0,0,0,0,16,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
49,v2_anchor_only_control,7600001,6,production,true,true,true,,0,0,0,0,0,0,0,16,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
50,gate_e_positive_consequence,7600001,6,reference,true,true,true,,2,4,2,1,2,21,27,18,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
50,gate_e_positive_consequence,7600001,6,production,true,true,true,,2,4,2,1,2,21,27,18,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
51,v2_anchor_identity_slot_permutation,7600001,6,reference,true,true,true,,2,4,2,1,2,21,27,18,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
51,v2_anchor_identity_slot_permutation,7600001,6,production,true,true,true,,2,4,2,1,2,21,27,18,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
52,v2_anchor_only_control,7600001,7,reference,true,true,true,,0,0,0,0,0,0,0,17,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
52,v2_anchor_only_control,7600001,7,production,true,true,true,,0,0,0,0,0,0,0,17,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
53,gate_e_positive_consequence,7600001,7,reference,true,true,true,,2,4,2,1,2,21,27,19,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
53,gate_e_positive_consequence,7600001,7,production,true,true,true,,2,4,2,1,2,21,27,19,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
