case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
28,1500000,1,5,production,3110400000,3110400000,3110400000,0,8,6,6,02433d96a92b303c0ffde21d2f6ba5aa41c8ed10c45f298aa1f7202fa7101d92,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
29,1500000,1,6,reference,2916000000,2916000000,2916000000,0,8,7,7,36227ea4f5b728b8d557f0339052e8290885e0aab446047c03d9b20ef52bb671,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
29,1500000,1,6,production,2916000000,2916000000,2916000000,0,8,7,7,36227ea4f5b728b8d557f0339052e8290885e0aab446047c03d9b20ef52bb671,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
30,1500000,1,7,reference,2733750000,2733750000,2733750000,0,8,8,8,89f48d795adbb5ec8bf8700228f793c958ac11bbe6e665d60ac53bc3f61e0be3,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
30,1500000,1,7,production,2733750000,2733750000,2733750000,0,8,8,8,89f48d795adbb5ec8bf8700228f793c958ac11bbe6e665d60ac53bc3f61e0be3,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
31,1500000,1,8,reference,2562890625,2562890625,2562890625,0,8,9,9,cfd056eb48be2aa0e45fb7c38f6345c421d9d23310b6c5cfa6832713261836ee,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
31,1500000,1,8,production,2562890625,2562890625,2562890625,0,8,9,9,cfd056eb48be2aa0e45fb7c38f6345c421d9d23310b6c5cfa6832713261836ee,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
32,1500000,1,9,reference,2402709960,2402709960,2402709960,0,8,10,0,bccac80e5798e5e0c7c61d6e7cdcea79a63d5cacb9508aa6959d1974ccaf8980,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
32,1500000,1,9,production,2402709960,2402709960,2402709960,0,8,10,0,bccac80e5798e5e0c7c61d6e7cdcea79a63d5cacb9508aa6959d1974ccaf8980,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
33,1500000,1,10,reference,2252540587,2252540587,2252540587,0,8,11,1,502709d8f28e6ab27ef6ee8751a37e81595d503d2d5d73edeb01ab5f12a33635,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
33,1500000,1,10,production,2252540587,2252540587,2252540587,0,8,11,1,502709d8f28e6ab27ef6ee8751a37e81595d503d2d5d73edeb01ab5f12a33635,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
