case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,equivalent_future,replay_equal,mechanics_equal,predicate_pass
18,4700000,2,same_durable_state_same_future,reference,after_consequence@9/51:0/0/0/0/0/0;last_live@48/51:0/0/0/0/0/0;death@49/51:0/0/0/0/0/0,d1093bb68e202063e1743aaabd36252f3dc755a134fc59aa0c5852e4bdab9536,6,3,1,1,0,1,0,51,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
18,4700000,2,same_durable_state_same_future,production,after_consequence@9/51:0/0/0/0/0/0;last_live@48/51:0/0/0/0/0/0;death@49/51:0/0/0/0/0/0,d1093bb68e202063e1743aaabd36252f3dc755a134fc59aa0c5852e4bdab9536,6,3,1,1,0,1,0,51,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
19,4700000,2,wrong_path_modulation,reference,initial@0/2:1/1/0/0/0/1;before_wrong_return@5/7:1/1/5/4294967296/0/1;after_wrong_return@5/7:1/1/5/4294967296/0/1;death@10/12:0/0/0/0/0/0,eb791d4ce9e90af731757bb66651489e508ef41e1c73cdf6ae0b2b247029db48,5,3,1,0,0,1,0,12,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
19,4700000,2,wrong_path_modulation,production,initial@0/2:1/1/0/0/0/1;before_wrong_return@5/7:1/1/5/4294967296/0/1;after_wrong_return@5/7:1/1/5/4294967296/0/1;death@10/12:0/0/0/0/0/0,eb791d4ce9e90af731757bb66651489e508ef41e1c73cdf6ae0b2b247029db48,5,3,1,0,0,1,0,12,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
20,4700000,2,late_consequence_no_resurrection,reference,initial@0/2:1/1/0/0/0/1;dead_before_return@10/12:0/0/0/0/0/0;after_late_return@11/13:0/0/0/0/0/0,1fcfd1e484d90e4074e7f1664c1094bb47d837c0fb689cf9f6d950b4525f25a3,5,3,1,0,0,1,0,13,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
20,4700000,2,late_consequence_no_resurrection,production,initial@0/2:1/1/0/0/0/1;dead_before_return@10/12:0/0/0/0/0/0;after_late_return@11/13:0/0/0/0/0/0,1fcfd1e484d90e4074e7f1664c1094bb47d837c0fb689cf9f6d950b4525f25a3,5,3,1,0,0,1,0,13,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
21,4700000,2,repeated_supported_consequence,reference,initial@0/2:1/1/0/0/0/1;after_first@5/7:1/4/0/4294967296/4294967296/1;after_second@6/8:1/7/0/8321499136/12616466432/1;last_live@75/77:1/1/9/96876761/12616466432/1;death@76/78:0/0/0/0/0/0,1e9262c0a57f6494bff1eef102dcc0e5792600a6306daf7a04966ce1461e8d71,11,6,2,2,0,1,0,78,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
21,4700000,2,repeated_supported_consequence,production,initial@0/2:1/1/0/0/0/1;after_first@5/7:1/4/0/4294967296/4294967296/1;after_second@6/8:1/7/0/8321499136/12616466432/1;last_live@75/77:1/1/9/96876761/12616466432/1;death@76/78:0/0/0/0/0/0,1e9262c0a57f6494bff1eef102dcc0e5792600a6306daf7a04966ce1461e8d71,11,6,2,2,0,1,0,78,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
22,4700000,3,unused_proposal,reference,initial@0/3:1/1/0/0/0/1;age_9@9/12:1/1/9/0/0/1;death@10/13:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,13,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
22,4700000,3,unused_proposal,production,initial@0/3:1/1/0/0/0/1;age_9@9/12:1/1/9/0/0/1;death@10/13:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,13,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
