case_id,root,absolute_phase,family,mechanics,class,period_firings,period_ticks,first_firings,continuation_firings,excitatory_fire_counts,inhibitor_firings,excitatory_traversals,relay_traversals,negative_traversals,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,states,naturally_quiescent,ceiling_reached,continuation_ceiling_reached,unbounded_match,trace_hash,continuation_trace_hash,body_hash,live_hash,replay_equal,mechanics_equal,predicate_pass,case_pass
118,5900000,5,reciprocal_delay_1_h16,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,7,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,e49c29bde3ad8502f3ca949a1b54738c92f69bc317a8ce848bd0d68723e5dc14,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1a3da1d6ecc30d0fada09d0f73f3526722fa9d81a8c65c98255e4380477f7137,23130b83919ad30b42121afd6e3f66413397f564782fd2bf501c730a8ec47cbb,true,true,true,true
119,5900000,5,reciprocal_delay_2_h16,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,9,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,067b7353949c3fac8bfe0a18a6101eae827a8ee93befc4c2a26cc11c4618e8ca,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a8fd8096239683e9187a9d4e9d7860e20f5ea36d578ad596c890186e301cae60,cc83b3a1b2cb0c716cfe133fadd881cae8b65c34531d070578ef1430d562f524,true,true,true,true
119,5900000,5,reciprocal_delay_2_h16,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,9,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,067b7353949c3fac8bfe0a18a6101eae827a8ee93befc4c2a26cc11c4618e8ca,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a8fd8096239683e9187a9d4e9d7860e20f5ea36d578ad596c890186e301cae60,b4454fe265a23575d28ea1baaa04ac02faef057e2f12a39dc46875e9d223d730,true,true,true,true
120,5900000,5,reciprocal_delay_3_h16,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,11,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,d9352ca66c4f03b7cec01e985c29d44f1cca7a1d450d09f91952e2aed5118084,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d267f6862998ceec1814bb2236c5dbe474ff9858071253cac0968f428b15a10b,d59041dc9ca9428ece58a02649f98176eab4bfde29519454e85dc7834eaba8a5,true,true,true,true
120,5900000,5,reciprocal_delay_3_h16,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,11,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,d9352ca66c4f03b7cec01e985c29d44f1cca7a1d450d09f91952e2aed5118084,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d267f6862998ceec1814bb2236c5dbe474ff9858071253cac0968f428b15a10b,5e63e125f0df4c35e31ec46a939c9fc0ba98853ad73415ad1fced9b31a604d58,true,true,true,true
121,5900000,5,cycle_3_delay_1_h16,reference,dies,0,0,3,0,1|1|1,3,3,3,3,10,0,10,8,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,faf96fb29cbc014d2330eadf6e0b2640aac753d43016b040bff7dabae5c01aa0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,179cc7ba59566509f201d194a0a998c32b2bf657b59d6ddd2435af39678cac83,2567367ce03a5f1b832c383022795cf6f7a273acf1f13755702b0930ab9d25d0,true,true,true,true
121,5900000,5,cycle_3_delay_1_h16,production,dies,0,0,3,0,1|1|1,3,3,3,3,10,0,10,8,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,faf96fb29cbc014d2330eadf6e0b2640aac753d43016b040bff7dabae5c01aa0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,179cc7ba59566509f201d194a0a998c32b2bf657b59d6ddd2435af39678cac83,7481779cccff18f713838a349993a1296dd8b5a68040473fb67d774448780d29,true,true,true,true
122,5900000,5,cycle_4_delay_1_h16,reference,dies,0,0,4,0,1|1|1|1,4,4,4,4,13,0,13,9,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,58987ad04231054cc72de384b1005f370f2312ce521f3c5ee8be71085a32490f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,bc7795842e26ab96f50346ad2f17cb43ac2e3b2d45a46f2f7f69e0370bc523b6,bf104112330afd8414f61800ab7d585c5a9723cfee0d27e4ce920b96cffb594e,true,true,true,true
122,5900000,5,cycle_4_delay_1_h16,production,dies,0,0,4,0,1|1|1|1,4,4,4,4,13,0,13,9,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,58987ad04231054cc72de384b1005f370f2312ce521f3c5ee8be71085a32490f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,bc7795842e26ab96f50346ad2f17cb43ac2e3b2d45a46f2f7f69e0370bc523b6,f2803b5ddf94db12d089255329011ac50368d3fa73b817094d9a1b9564a2395c,true,true,true,true
123,5900000,5,cycle_8_delay_1_h16,reference,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,8,8,8,25,0,25,13,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,06a914bd66fc2f400bd6d24fc1ee27c7c1d3c214b1ba4340eccc1d9d19e0809d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1429ae23f4cfc46177f4371fd2f205ffdae4ad414fb5c8bb61d05c823245dbb3,c13801d595cb3b4bc186dde24c8e9e15741d951e60f5a9cc25a4121d2fe2272b,true,true,true,true
123,5900000,5,cycle_8_delay_1_h16,production,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,8,8,8,25,0,25,13,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,06a914bd66fc2f400bd6d24fc1ee27c7c1d3c214b1ba4340eccc1d9d19e0809d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1429ae23f4cfc46177f4371fd2f205ffdae4ad414fb5c8bb61d05c823245dbb3,056f74a2093df9df431264ae68baf91ce961b4358b5cdb1579aae181d0c456d4,true,true,true,true
