profile,mechanics,kind,step,route,exists_before,exists_after,traversed,participation_after_traversal,participation_before_consequence,modulation_at_contact,coupling_before,coupling_after,resistance_before,resistance_after,qlp_traversals,inhibitor_reexecutes,rb0_boundary_reached,fires_a,fires_b,settled,ceiling_reached,quiescent,physical_work
CORE1-A,production,probe,1,0,true,true,false,1979772000,0,false,-10569706592,-10569706592,42950028818516,42950028818516,0,false,false,0,0,false,false,true,1
CORE1-A,production,probe,1,1,true,true,false,1979772000,0,false,-10569706592,-10569706592,42950028818516,42950028818516,0,false,false,0,0,false,false,true,1
CORE1-A,production,training,2,0,true,true,true,6151003546,2835314858,true,-10569706592,-13405021450,42949599321786,42952951305605,0,false,true,0,0,false,false,true,11
CORE1-A,production,training,2,1,true,true,true,6151003546,2835314858,true,-10569706592,-13405021450,42949599321786,42952951305605,0,false,true,0,0,false,false,true,11
CORE1-A,production,probe,2,0,true,true,false,2835314858,0,false,-13405021450,-13405021450,42952951305605,42952951305605,0,false,true,0,0,false,false,true,1
CORE1-A,production,probe,2,1,true,true,false,2835314858,0,false,-13405021450,-13405021450,42952951305605,42952951305605,0,false,true,0,0,false,false,true,1
CORE1-A,production,training,3,0,true,true,true,6953074975,3205030957,true,-13405021450,-16610052407,42952521808875,42956982940991,0,false,true,0,0,false,false,true,11
CORE1-A,production,training,3,1,true,true,true,6953074975,3205030957,true,-13405021450,-16610052407,42952521808875,42956982940991,0,false,true,0,0,false,false,true,11
CORE1-A,production,training,4,0,true,true,true,7299683818,3364800855,true,-16610052407,-19974853262,42956553444261,42961493886071,0,false,true,0,0,false,false,true,11
CORE1-A,production,training,4,1,true,true,true,7299683818,3364800855,true,-16610052407,-19974853262,42956553444261,42961493886071,0,false,true,0,0,false,false,true,11
CORE1-A,production,probe,4,0,true,true,false,3364800855,0,false,-19974853262,-19974853262,42961493886071,42961493886071,0,false,true,0,0,false,false,true,1
CORE1-A,production,probe,4,1,true,true,false,3364800855,0,false,-19974853262,-19974853262,42961493886071,42961493886071,0,false,true,0,0,false,false,true,1
CORE1-A,production,training,5,0,true,true,true,7449468097,3433844154,true,-19974853262,-23408697416,42961064389342,42966211961048,0,false,true,0,0,false,false,true,11
