case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
18,5500000,1,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,41,5798642bd6b4da82c548a88a288688b34309a1aaae0890b0b90aa920f6b5979f,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,8d18e9dc56da7bc373bf72088a6729ce032d3af9e20a3486a25b6c6e2ce6da9f,true,true,true,true,true
18,5500000,1,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,41,5798642bd6b4da82c548a88a288688b34309a1aaae0890b0b90aa920f6b5979f,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,187ee6a01b3af45e1ff22a0e1af17a7d283a9ce938778df0d042a4a5fa6735cd,true,true,true,true,true
19,5500000,1,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,1,b28bdb446d7ef63905dd9e0ef279c467bb7a3ad7981a2bba2da96ae598422c41,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,21e991eeb683cbc29fd642d87ee1fee576e9463deada0eab2be042e848352876,true,true,true,true,true
19,5500000,1,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,1,b28bdb446d7ef63905dd9e0ef279c467bb7a3ad7981a2bba2da96ae598422c41,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,21e991eeb683cbc29fd642d87ee1fee576e9463deada0eab2be042e848352876,true,true,true,true,true
20,5500000,1,recurrent_stability,reference,1/4/1/3774873600/3774873600;1/4/-1/4026531840/4026531840;1/1/1/4026531840/0;0/0/1/0/0;1/100003/1/3110400000/3774873600;1/100003/1/3317760000/4026531840;1/100003/1/3774873600/3774873600;1/100003/1/4026531840/4026531840,1|0|0,97,3,51,8,0,0,0,108,0,219,22,50135e5373307b29e123442bc786b36b5ca5be805f741d5ad20092bc3770edb4,6ee1dd5876d3288c9dbbbf1c295fec1fc186f6248e87f0444fd31947755f1283,e5d5c503ca899a79a203dfe834dc8300a81225264d5b99e9c7aadee9c68ecafc,true,true,true,false,false
20,5500000,1,recurrent_stability,production,1/4/1/3774873600/3774873600;1/4/-1/4026531840/4026531840;1/1/1/4026531840/0;0/0/1/0/0;1/100003/1/3110400000/3774873600;1/100003/1/3317760000/4026531840;1/100003/1/3774873600/3774873600;1/100003/1/4026531840/4026531840,1|0|0,97,3,51,8,0,0,0,108,0,219,22,50135e5373307b29e123442bc786b36b5ca5be805f741d5ad20092bc3770edb4,6ee1dd5876d3288c9dbbbf1c295fec1fc186f6248e87f0444fd31947755f1283,904602b05a9db848b2708ac83b245c5f37cf2fb00c593c0a347bb688142e158a,true,true,true,false,false
21,5500000,2,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,2,94ece9692f50a9e86ef75c8f5d7b1708184b37fdfa207019c4d53d9649057751,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,2067843169b788db4fdffef9ebf5fffd0f67140ac340a39eff7b497f12b63f08,true,true,true,true,true
21,5500000,2,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,2,94ece9692f50a9e86ef75c8f5d7b1708184b37fdfa207019c4d53d9649057751,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,2067843169b788db4fdffef9ebf5fffd0f67140ac340a39eff7b497f12b63f08,true,true,true,true,true
22,5500000,2,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,9,b59e9f87382c75907ef790db63ed3f7ac331121c539380b101b61b89fef56dba,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,b004a9665ec59ad1349d9639b5004770fcca487d89b3bfc20e916f00c476b0e5,true,true,true,true,true
22,5500000,2,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,9,b59e9f87382c75907ef790db63ed3f7ac331121c539380b101b61b89fef56dba,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,dee4fee1a3a945515c5ef2ba606a7e361f9a7b2bbca5e51ca275967955631b1c,true,true,true,true,true
