case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,cell_deallocations,physical_work,trace_len,crossings,final_tick,naturally_quiescent,body_hash,markers
56,repeated_use_without_modulation,7300000,9,production,true,true,true,,0,1,11,21,0,19,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
57,unqualified_and_wrong_cell_modulation,7300000,9,reference,true,true,true,,0,0,4,7,0,11,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
57,unqualified_and_wrong_cell_modulation,7300000,9,production,true,true,true,,0,0,4,7,0,11,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
58,late_modulation_after_relaxation,7300000,9,reference,true,true,true,,0,0,4,7,0,1010,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
58,late_modulation_after_relaxation,7300000,9,production,true,true,true,,0,0,4,7,0,1010,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
59,two_participating_cells_local_consequence,7300000,9,reference,true,true,true,,1,0,6,10,0,11,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
59,two_participating_cells_local_consequence,7300000,9,production,true,true,true,,1,0,6,10,0,11,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
60,repeated_support_and_eventual_decay,7300000,9,reference,true,true,true,,2,1,11,17,0,84,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
60,repeated_support_and_eventual_decay,7300000,9,production,true,true,true,,2,1,11,17,0,84,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
61,participation_plus_local_modulation,7400000,0,reference,true,true,true,,1,1,6,9,0,42,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
61,participation_plus_local_modulation,7400000,0,production,true,true,true,,1,1,6,9,0,42,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
62,repeated_use_without_modulation,7400000,0,reference,true,true,true,,0,1,11,21,0,10,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
62,repeated_use_without_modulation,7400000,0,production,true,true,true,,0,1,11,21,0,10,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
63,unqualified_and_wrong_cell_modulation,7400000,0,reference,true,true,true,,0,0,4,7,0,2,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
63,unqualified_and_wrong_cell_modulation,7400000,0,production,true,true,true,,0,0,4,7,0,2,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
64,late_modulation_after_relaxation,7400000,0,reference,true,true,true,,0,0,4,7,0,1001,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
64,late_modulation_after_relaxation,7400000,0,production,true,true,true,,0,0,4,7,0,1001,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
65,two_participating_cells_local_consequence,7400000,0,reference,true,true,true,,1,0,6,10,0,2,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
65,two_participating_cells_local_consequence,7400000,0,production,true,true,true,,1,0,6,10,0,2,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
66,repeated_support_and_eventual_decay,7400000,0,reference,true,true,true,,2,1,11,17,0,75,true,7a9a8e4c4bcfbd55512be9339793b560e2d9abe5f4c957e87406f1034c877eba,resistance=Some(4)->Some(7);death=Some(75);updates=2
66,repeated_support_and_eventual_decay,7400000,0,production,true,true,true,,2,1,11,17,0,75,true,7a9a8e4c4bcfbd55512be9339793b560e2d9abe5f4c957e87406f1034c877eba,resistance=Some(4)->Some(7);death=Some(75);updates=2
67,participation_plus_local_modulation,7400000,1,reference,true,true,true,,1,1,6,9,0,43,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
67,participation_plus_local_modulation,7400000,1,production,true,true,true,,1,1,6,9,0,43,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
68,repeated_use_without_modulation,7400000,1,reference,true,true,true,,0,1,11,21,0,11,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
68,repeated_use_without_modulation,7400000,1,production,true,true,true,,0,1,11,21,0,11,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
69,unqualified_and_wrong_cell_modulation,7400000,1,reference,true,true,true,,0,0,4,7,0,3,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
69,unqualified_and_wrong_cell_modulation,7400000,1,production,true,true,true,,0,0,4,7,0,3,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
70,late_modulation_after_relaxation,7400000,1,reference,true,true,true,,0,0,4,7,0,1002,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
70,late_modulation_after_relaxation,7400000,1,production,true,true,true,,0,0,4,7,0,1002,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
71,two_participating_cells_local_consequence,7400000,1,reference,true,true,true,,1,0,6,10,0,3,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
71,two_participating_cells_local_consequence,7400000,1,production,true,true,true,,1,0,6,10,0,3,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
72,repeated_support_and_eventual_decay,7400000,1,reference,true,true,true,,2,1,11,17,0,76,true,7a9a8e4c4bcfbd55512be9339793b560e2d9abe5f4c957e87406f1034c877eba,resistance=Some(4)->Some(7);death=Some(75);updates=2
72,repeated_support_and_eventual_decay,7400000,1,production,true,true,true,,2,1,11,17,0,76,true,7a9a8e4c4bcfbd55512be9339793b560e2d9abe5f4c957e87406f1034c877eba,resistance=Some(4)->Some(7);death=Some(75);updates=2
73,participation_plus_local_modulation,7400000,2,reference,true,true,true,,1,1,6,9,0,44,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
73,participation_plus_local_modulation,7400000,2,production,true,true,true,,1,1,6,9,0,44,true,ebad9476071437b4ec22a53a14eb47b904c94dd979239e15af3c691891a8bc25,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
74,repeated_use_without_modulation,7400000,2,reference,true,true,true,,0,1,11,21,0,12,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
74,repeated_use_without_modulation,7400000,2,production,true,true,true,,0,1,11,21,0,12,true,a2d33b5171f75258a2d2c2c43f8bea5fc047c088a2b4b77b9f71d05f0d6d6faa,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
75,unqualified_and_wrong_cell_modulation,7400000,2,reference,true,true,true,,0,0,4,7,0,4,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
75,unqualified_and_wrong_cell_modulation,7400000,2,production,true,true,true,,0,0,4,7,0,4,true,a8d8d4bd9febb052933bdd6aeaa27ddf5e050aaa326726ffb51a8ca5cabedeb0,participating=Some(2);untouched=Some(2);updates=0
76,late_modulation_after_relaxation,7400000,2,reference,true,true,true,,0,0,4,7,0,1003,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
76,late_modulation_after_relaxation,7400000,2,production,true,true,true,,0,0,4,7,0,1003,true,0575e74d4228855678219cb7f4adc4018e0314054a55964bc07ed37063676eab,trace_before=Some(0);resistance=Some(100)->Some(100)
77,two_participating_cells_local_consequence,7400000,2,reference,true,true,true,,1,0,6,10,0,4,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
77,two_participating_cells_local_consequence,7400000,2,production,true,true,true,,1,0,6,10,0,4,true,87290f84f06cc0b103a6654acf391817f4581655732773c4a223ef2bbc92c23d,first=Some(4);second=Some(1);updates=1
