case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
36,1500000,1,13,production,1856036250,1856036250,1856036250,0,8,14,4,3f377c060dca6e2dda633bb2ad374980cc47c2eb2b68456c3731ee915a9528bf,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
37,1500000,1,14,reference,1740033984,1740033984,1740033984,0,8,15,5,9bd819be6fdb307a35240590c690d4c72a7f2ebde6e9eebd13050379860b732c,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
37,1500000,1,14,production,1740033984,1740033984,1740033984,0,8,15,5,9bd819be6fdb307a35240590c690d4c72a7f2ebde6e9eebd13050379860b732c,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
38,1500000,1,15,reference,1631281860,1631281860,1631281860,0,8,16,6,e3d8ee3c281300f23531292079067be24f92b9215b82ed2c7dafe7cc319ef4e0,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
38,1500000,1,15,production,1631281860,1631281860,1631281860,0,8,16,6,e3d8ee3c281300f23531292079067be24f92b9215b82ed2c7dafe7cc319ef4e0,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
39,1500000,1,16,reference,1529326743,1529326743,1529326743,0,8,17,7,4a8fc9b59dad4cba994b45625f1ce813cd9a235e07dc2574bfde8445887ab157,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
39,1500000,1,16,production,1529326743,1529326743,1529326743,0,8,17,7,4a8fc9b59dad4cba994b45625f1ce813cd9a235e07dc2574bfde8445887ab157,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
40,1500000,1,17,reference,1433743821,1433743821,1433743821,0,8,18,8,2b4bdc76976495e34e286375d48bb235120f727416030b33ab09b2e63ba660af,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
40,1500000,1,17,production,1433743821,1433743821,1433743821,0,8,18,8,2b4bdc76976495e34e286375d48bb235120f727416030b33ab09b2e63ba660af,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
41,1500000,1,18,reference,1344134832,1344134832,1344134832,0,8,19,9,d1a2ade8605ee291ac49d10c7814fb931efd1ee01ae6582eff005f666fbf616a,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
41,1500000,1,18,production,1344134832,1344134832,1344134832,0,8,19,9,d1a2ade8605ee291ac49d10c7814fb931efd1ee01ae6582eff005f666fbf616a,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
42,1500000,1,19,reference,1260126405,1260126405,1260126405,0,8,20,0,3561b4c3c867dfc54167603432262314a990ce04d116a6a856d364f823962685,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
42,1500000,1,19,production,1260126405,1260126405,1260126405,0,8,20,0,3561b4c3c867dfc54167603432262314a990ce04d116a6a856d364f823962685,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
43,1500000,1,20,reference,1181368504,1181368504,1181368504,0,8,21,1,5ad9543d9c772418222b5c49ba8cf57c2006f3c769f0877d8ffdd0e87de55131,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
43,1500000,1,20,production,1181368504,1181368504,1181368504,0,8,21,1,5ad9543d9c772418222b5c49ba8cf57c2006f3c769f0877d8ffdd0e87de55131,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
44,1500000,1,1024,reference,0,0,0,0,8,1025,5,8e15f66e56bd52d228148490e6df6517f0d06a1e26f1189333225f11c121c2f3,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
44,1500000,1,1024,production,0,0,0,0,8,1025,5,8e15f66e56bd52d228148490e6df6517f0d06a1e26f1189333225f11c121c2f3,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
45,1500000,2,0,reference,4294967296,4294967296,4294967296,0,8,2,2,d82e888bb19f8f130fc205f4fc9be37a86e1ad05e394a19e2fdc2df79feb654d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
45,1500000,2,0,production,4294967296,4294967296,4294967296,0,8,2,2,d82e888bb19f8f130fc205f4fc9be37a86e1ad05e394a19e2fdc2df79feb654d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
46,1500000,2,1,reference,4026531840,4026531840,4026531840,0,8,3,3,f18e1c97b2eb42db799f173f860f0f27afa181a24c1764cfb109392301045750,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
46,1500000,2,1,production,4026531840,4026531840,4026531840,0,8,3,3,f18e1c97b2eb42db799f173f860f0f27afa181a24c1764cfb109392301045750,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
47,1500000,2,2,reference,3774873600,3774873600,3774873600,0,8,4,4,58e5b44241ebbcb4d342670db99a17cc8bbff70f6786516b3fc515c81448e5f9,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
47,1500000,2,2,production,3774873600,3774873600,3774873600,0,8,4,4,58e5b44241ebbcb4d342670db99a17cc8bbff70f6786516b3fc515c81448e5f9,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
48,1500000,2,3,reference,3538944000,3538944000,3538944000,0,8,5,5,a104a37be258cae244c09ddcbba60a6c38e9429a6ef2a8d4f58103a371b206b2,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
48,1500000,2,3,production,3538944000,3538944000,3538944000,0,8,5,5,a104a37be258cae244c09ddcbba60a6c38e9429a6ef2a8d4f58103a371b206b2,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
49,1500000,2,4,reference,3317760000,3317760000,3317760000,0,8,6,6,cb4b8afd7a5a7586890693fbb07f91d9f0f4f29f442f57c6c4b357908bee321b,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
49,1500000,2,4,production,3317760000,3317760000,3317760000,0,8,6,6,cb4b8afd7a5a7586890693fbb07f91d9f0f4f29f442f57c6c4b357908bee321b,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
50,1500000,2,5,reference,3110400000,3110400000,3110400000,0,8,7,7,c01ca5603faa5f44fc95d46ec3637d2632536716533c59ed11e4564318a5a480,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
50,1500000,2,5,production,3110400000,3110400000,3110400000,0,8,7,7,c01ca5603faa5f44fc95d46ec3637d2632536716533c59ed11e4564318a5a480,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
51,1500000,2,6,reference,2916000000,2916000000,2916000000,0,8,8,8,fed03eb2510f7deacc1e103c79215b96413bb15488e64c5e8cf8b1ffbd540852,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
51,1500000,2,6,production,2916000000,2916000000,2916000000,0,8,8,8,fed03eb2510f7deacc1e103c79215b96413bb15488e64c5e8cf8b1ffbd540852,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
