case_id,root,initial_phase,control,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
84,1500000,9,unrelated_activity,production,2252540587,2252540587,0,0,7,19,9,db7b6be5f3357b3597836d39b7eb7c94015f55e3727350aff4dbc9b65f85cdd3,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
85,1500000,9,repeat_a,reference,5362940587,2252540587,0,0,7,19,9,0c0a213ea33e61409db70d609699ba3c81857297330afcf1c47709c97dddb00d,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
85,1500000,9,repeat_a,production,5362940587,2252540587,0,0,7,19,9,0c0a213ea33e61409db70d609699ba3c81857297330afcf1c47709c97dddb00d,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
86,1500000,9,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,19,9,8d62d5693cd599ee07a328267b8c8380ba46dd08459298ab729c49955602679a,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
86,1500000,9,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,19,9,8d62d5693cd599ee07a328267b8c8380ba46dd08459298ab729c49955602679a,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
87,1500000,9,source_without_traversal,reference,0,0,0,0,1,19,9,dd3adceedb8d90d67080dcd0f174052f81283db6cce5f966acccc6ac45c7bf72,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
87,1500000,9,source_without_traversal,production,0,0,0,0,1,19,9,dd3adceedb8d90d67080dcd0f174052f81283db6cce5f966acccc6ac45c7bf72,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
88,1500000,9,same_total_wrong_path,reference,0,5362940587,0,0,4,19,9,77231b6130d06f52a8a23aa4d6fe9339f975c015463aacc0de9eda0029a9e3fb,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
88,1500000,9,same_total_wrong_path,production,0,5362940587,0,0,4,19,9,77231b6130d06f52a8a23aa4d6fe9339f975c015463aacc0de9eda0029a9e3fb,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
89,1500000,9,contact_fanout,reference,4294967296,4294967296,4294967296,4294967296,8,9,9,4c01cfce67b26e63b75ac5257efad390ca2d04b1e5d37ff26835aad1f98cbf25,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
89,1500000,9,contact_fanout,production,4294967296,4294967296,4294967296,4294967296,8,9,9,4c01cfce67b26e63b75ac5257efad390ca2d04b1e5d37ff26835aad1f98cbf25,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
90,1500000,9,late_return,reference,0,0,0,0,8,1033,3,436cfaf56128a9f921cec502327456e31def696a810a02b38e5034fdfe896a06,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
90,1500000,9,late_return,production,0,0,0,0,8,1033,3,436cfaf56128a9f921cec502327456e31def696a810a02b38e5034fdfe896a06,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
91,1600000,0,prompt_a,reference,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,75253521aff80512691b11e99a2b3c6b3b6bb3e50becd494d46b9e4765525efe,1,1,1
91,1600000,0,prompt_a,production,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,75253521aff80512691b11e99a2b3c6b3b6bb3e50becd494d46b9e4765525efe,1,1,1
92,1600000,0,return_b,reference,4294967296,4294967296,0,4294967296,8,0,0,bf42b2566e680ed104731bf23a3b4e4f05dae2725834ad4992f1066b1ea14e7f,79106e52cbcac04f02e859ea1758af5315f0fe338ce138455650f1f26efd8266,1,1,1
92,1600000,0,return_b,production,4294967296,4294967296,0,4294967296,8,0,0,bf42b2566e680ed104731bf23a3b4e4f05dae2725834ad4992f1066b1ea14e7f,79106e52cbcac04f02e859ea1758af5315f0fe338ce138455650f1f26efd8266,1,1,1
93,1600000,0,unrelated_activity,reference,2252540587,2252540587,0,0,7,10,0,9ced2dfa277ed1aa2fc5a7645bf83c838d9efd842508fdf2848bb624ef12adab,4f0c221e6d73dd2f0e2c909c45161727cc18daa3909fa2e859f0217cf5317a1b,1,1,1
93,1600000,0,unrelated_activity,production,2252540587,2252540587,0,0,7,10,0,9ced2dfa277ed1aa2fc5a7645bf83c838d9efd842508fdf2848bb624ef12adab,4f0c221e6d73dd2f0e2c909c45161727cc18daa3909fa2e859f0217cf5317a1b,1,1,1
94,1600000,0,repeat_a,reference,5362940587,2252540587,0,0,7,10,0,bd361082ee85f0d6bf747c0a0a1319bb7a6210087fec6c855d43a954f424047d,d5efd78c375aa623a48f53cb97d961dd5adc922e726d12dd6ae989c60f49b1df,1,1,1
94,1600000,0,repeat_a,production,5362940587,2252540587,0,0,7,10,0,bd361082ee85f0d6bf747c0a0a1319bb7a6210087fec6c855d43a954f424047d,d5efd78c375aa623a48f53cb97d961dd5adc922e726d12dd6ae989c60f49b1df,1,1,1
