row_type,protocol,mode,claim_eligible,passed,workload,seed,depth,view,price_micros,uses_per_cycle,acquisition_work,installation_work,retained_bytes,maintenance_per_cycle,concrete_per_cycle,motif_per_cycle,gain_micros,break_even_cycles,break_even_invocations,horizon_cycles,horizon_invocations,delta_cost_micros,gate,gate_status
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,full-stack-from-blank,100,1,4455874,0,6916,0,12740,11806,933308400,4775,4775,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,full-stack-from-blank,100,1,4455874,0,6916,0,41796,39518,2277308400,1957,1957,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,full-stack-from-blank,100,6,4455874,0,6916,0,61816,58963,2848850400,1565,9390,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,full-stack-from-blank,1000,1,4455874,0,6916,0,468,773,-311916000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,full-stack-from-blank,1000,1,4455874,0,6916,0,756,998,-248916000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,full-stack-from-blank,1000,1,4455874,0,6916,0,1700,1774,-80916000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,full-stack-from-blank,1000,1,4455874,0,6916,0,4356,4094,255084000,17469,17469,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,full-stack-from-blank,1000,1,4455874,0,6916,0,12740,11806,927084000,4807,4807,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,full-stack-from-blank,1000,1,4455874,0,6916,0,41796,39518,2271084000,1963,1963,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,full-stack-from-blank,1000,6,4455874,0,6916,0,61816,58963,2811504000,1585,9510,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,compiled-plus-motif-incremental,0,1,3858,0,308,0,468,773,-305000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,compiled-plus-motif-incremental,0,1,3858,0,308,0,756,998,-242000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,compiled-plus-motif-incremental,0,1,3858,0,308,0,1700,1774,-74000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,compiled-plus-motif-incremental,0,1,3858,0,308,0,4356,4094,262000000,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,compiled-plus-motif-incremental,0,1,3858,0,308,0,12740,11806,934000000,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,compiled-plus-motif-incremental,0,1,3858,0,308,0,41796,39518,2278000000,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,compiled-plus-motif-incremental,0,6,3858,0,308,0,61816,58963,2853000000,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,compiled-plus-motif-incremental,1,1,3858,0,308,0,468,773,-305000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,compiled-plus-motif-incremental,1,1,3858,0,308,0,756,998,-242000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,compiled-plus-motif-incremental,1,1,3858,0,308,0,1700,1774,-74000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,compiled-plus-motif-incremental,1,1,3858,0,308,0,4356,4094,261999692,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,compiled-plus-motif-incremental,1,1,3858,0,308,0,12740,11806,933999692,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,compiled-plus-motif-incremental,1,1,3858,0,308,0,41796,39518,2277999692,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,compiled-plus-motif-incremental,1,6,3858,0,308,0,61816,58963,2852998152,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,compiled-plus-motif-incremental,10,1,3858,0,308,0,468,773,-305003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,compiled-plus-motif-incremental,10,1,3858,0,308,0,756,998,-242003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,compiled-plus-motif-incremental,10,1,3858,0,308,0,1700,1774,-74003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,compiled-plus-motif-incremental,10,1,3858,0,308,0,4356,4094,261996920,15,15,,,,,
