category,layer,path,line,match
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_targeting_probe.rs",434,"frozen_m3"
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_targeting_probe.rs",619,"frozen_m4"
"typed_layer_handoff","PX6","src/ds8_cumulative_semantic_credit_gate.rs",18,"FROZEN_HANDOFF_SHA256"
"typed_layer_handoff","PX6","src/ds8_cumulative_semantic_credit_gate.rs",453,"FROZEN_HANDOFF_SHA256"
"typed_layer_handoff","PX6","src/ds8_cumulative_semantic_credit_probe.rs",679,"frozen_m5"
"typed_layer_handoff","PX6","src/ds8_cumulative_semantic_credit_probe.rs",93,"frozen_m5"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",105,"frozen_m3"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",143,"FROZEN_M6_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",202,"frozen_m6"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",24,"FROZEN_M6_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",36,"FROZEN_PROBE_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",40,"FROZEN_MICRO_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",417,"frozen_request"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",459,"frozen_m6"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",510,"frozen_m6"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",601,"FROZEN_M6_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",611,"FROZEN_PROBE_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",613,"FROZEN_MICRO_HANDOFF_SHA256"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",708,"frozen_request"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",709,"frozen_m6"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",720,"frozen_request"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",728,"frozen_request"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",737,"frozen_request"
"typed_layer_handoff","PX7","src/post_m6_ds4_arrival_initiation.rs",738,"frozen_m6"
