row_type,protocol,rp0b1_passed,rp0b2_evaluated,rp0b2_passed,arm,seed_index,depth,correct,total,explicit_answers,queues_empty,activity_limit_hits,fallbacks,routing_equivalent,fingerprint_unchanged,first_roles,first_success,competence,parity,acquisition_work,installation_work,permanent_bytes,learned_roles,correct_arrows,invocations,provenance_events,provenance_relations,recognition_comparisons,role_activations,binding_writes,binding_reads,arrow_evaluations,target_location_comparisons,route_firings,lower_cells,spikes_enqueued,spikes_dequeued,queue_checks,identity_comparisons,maintenance_updates,runtime_total,carrying_price,break_even,horizon,delta_cost,gate,gate_status,workspaces_created,workspaces_destroyed,maximum_live_workspaces
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,3,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,3,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,448,576,6176,10320,10320,10320,10320,280704,0,331264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,3,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,272,480,480,480,480,1248,0,6416,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,416,720,720,720,720,2304,0,8576,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,800,1360,1360,1360,1360,6528,0,15744,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,1568,2640,2640,2640,2640,21120,0,36224,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,3104,5200,5200,5200,5200,74880,0,101760,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,4,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,4,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,6176,10320,10320,10320,10320,280704,0,331136,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,4,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,272,480,480,480,480,1248,0,6288,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,416,720,720,720,720,2304,0,8448,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,800,1360,1360,1360,1360,6528,0,15616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,1568,2640,2640,2640,2640,21120,0,36096,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,3104,5200,5200,5200,5200,74880,0,101632,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,5,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,5,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,6176,10320,10320,10320,10320,280704,0,331008,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,5,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,6,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,6,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,64,576,272,480,480,480,480,1248,0,6160,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,6,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,6,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,6,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,64,576,416,720,720,720,720,2304,0,8320,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,6,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
