seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,a_firings,b_firings,integration_firings,output_firings,positive_tick,negative_arrivals,negative_tick,output_tick,crossings,deallocations,quiescent,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
8,false,false,false,14,a-stale,0x639600000,1,1,1,1,1,0,-1,1,3,1,true,0x71ff8b40227cce37,0x876d9d567efed401,50,384,true,true
9,true,false,false,14,a-absent,0x63a000000,0,1,1,1,1,0,-1,1,2,0,true,0xa5a654f97cd9577c,0x50b2d4a0fbb28628,28,384,true,true
9,true,false,false,14,a-one-tick-early,0x63a100000,1,1,0,0,1,1,0,-1,2,0,true,0x1c4b6919bf9a4019,0xf3d9c9de814a4053,30,384,true,true
9,true,false,false,14,a-coincident-before-b,0x63a200000,1,1,0,0,1,1,1,-1,2,0,true,0xf105f6a246d8bfdf,0xba5cab017059d628,31,384,true,true
9,true,false,false,14,a-coincident-after-b,0x63a300000,1,1,1,1,1,1,1,1,3,0,true,0xe0854a865bb44544,0x478e57aadd71a47b,47,384,true,true
9,true,false,false,14,a-one-tick-late,0x63a400000,1,1,1,1,1,1,2,1,3,0,true,0x5cff5d3fe99049f4,0x3bfd9c1f1573961c,47,384,true,true
9,true,false,false,14,a-blocked,0x63a500000,1,1,1,1,1,0,-1,1,2,0,true,0x2d98a7422bee0bf9,0x3f9f4f6a507d5fe3,37,384,true,true
9,true,false,false,14,a-stale,0x63a600000,1,1,1,1,1,0,-1,1,3,1,true,0x98ac21a11ad29126,0x7077a4e784beb6ec,50,384,true,true
10,false,true,false,14,a-absent,0x63b000000,0,1,1,1,1,0,-1,1,2,0,true,0xc20defacb7989eb5,0xcea892de7180bd19,28,384,true,true
10,false,true,false,14,a-one-tick-early,0x63b100000,1,1,0,0,1,1,0,-1,2,0,true,0x6f8edc043d855338,0x7b8a1f16cfa069b6,30,384,true,true
10,false,true,false,14,a-coincident-before-b,0x63b200000,1,1,0,0,1,1,1,-1,2,0,true,0x4776e722f9d59c6,0x24df6cf387c55b59,31,384,true,true
10,false,true,false,14,a-coincident-after-b,0x63b300000,1,1,1,1,1,1,1,1,3,0,true,0xc177ef5a4271fa55,0x8904cb9c71aa2d5e,47,384,true,true
10,false,true,false,14,a-one-tick-late,0x63b400000,1,1,1,1,1,1,2,1,3,0,true,0x366f2bb5cb7a1791,0x6b341d6ee6df8d5,47,384,true,true
10,false,true,false,14,a-blocked,0x63b500000,1,1,1,1,1,0,-1,1,2,0,true,0x769ba3cc7ac05b9c,0x292886bd2877421e,37,384,true,true
10,false,true,false,14,a-stale,0x63b600000,1,1,1,1,1,0,-1,1,3,1,true,0x9ff795a02124519b,0xe0ced1dc77fcf941,50,384,true,true
11,true,true,false,14,a-absent,0x63c000000,0,1,1,1,1,0,-1,1,2,0,true,0x934e0686993ab59c,0x5984df0d501ca984,28,384,true,true
11,true,true,false,14,a-one-tick-early,0x63c100000,1,1,0,0,1,1,0,-1,2,0,true,0x32e6e22952e011ad,0x58784e168a7adb87,31,384,true,true
11,true,true,false,14,a-coincident-before-b,0x63c200000,1,1,0,0,1,1,1,-1,2,0,true,0xe250e72d721d6497,0xbd2cc40eed30e544,31,384,true,true
11,true,true,false,14,a-coincident-after-b,0x63c300000,1,1,1,1,1,1,1,1,3,0,true,0x928a9db25a73fa68,0xb881d8da2c5125d7,47,384,true,true
11,true,true,false,14,a-one-tick-late,0x63c400000,1,1,1,1,1,1,2,1,3,0,true,0xf80c03c1872a0a98,0xa2a497b6957affa0,47,384,true,true
11,true,true,false,14,a-blocked,0x63c500000,1,1,1,1,1,0,-1,1,2,0,true,0x9e88d8ab01189699,0x63661e7a6a605e8f,38,384,true,true
11,true,true,false,14,a-stale,0x63c600000,1,1,1,1,1,0,-1,1,3,1,true,0xa40d2b58e418818e,0x681c48658c8c6290,50,384,true,true
12,false,false,true,14,a-absent,0x63d000000,0,1,1,1,1,0,-1,1,2,0,true,0xd1639335673cc9d1,0x65874e7de91ded11,28,384,true,true
12,false,false,true,14,a-one-tick-early,0x63d100000,1,1,0,0,1,1,0,-1,2,0,true,0x206c8d445d1cfe90,0x570e6c3ab87d9496,30,384,true,true
12,false,false,true,14,a-coincident-before-b,0x63d200000,1,1,0,0,1,1,1,-1,2,0,true,0x432920a2fb86fe4a,0xe3e32d9c063c3dd1,31,384,true,true
12,false,false,true,14,a-coincident-after-b,0x63d300000,1,1,1,1,1,1,1,1,3,0,true,0x28687c5acf40591d,0x958a999b68a87646,47,384,true,true
12,false,false,true,14,a-one-tick-late,0x63d400000,1,1,1,1,1,1,2,1,3,0,true,0xd20fbfc18f04101,0xe3e75c01c1adc345,47,384,true,true
12,false,false,true,14,a-blocked,0x63d500000,1,1,1,1,1,0,-1,1,2,0,true,0x86826b64d43cf110,0xbae0f8cd98f01b5e,37,384,true,true
12,false,false,true,14,a-stale,0x63d600000,1,1,1,1,1,0,-1,1,3,1,true,0x2403af6554154057,0x189bbdb9a44d3ee9,50,384,true,true
13,true,false,true,14,a-absent,0x63e000000,0,1,1,1,1,0,-1,1,2,0,true,0x2bd0c63dc349bd54,0xa6bfe8aeda132eb0,28,384,true,true
13,true,false,true,14,a-one-tick-early,0x63e100000,1,1,0,0,1,1,0,-1,2,0,true,0xfffe1019639efe41,0xbeb15ad1b0cf5cb3,30,384,true,true
13,true,false,true,14,a-coincident-before-b,0x63e200000,1,1,0,0,1,1,1,-1,2,0,true,0xe51209e295dedbb7,0xf3a6d8682519f4f0,31,384,true,true
13,true,false,true,14,a-coincident-after-b,0x63e300000,1,1,1,1,1,1,1,1,3,0,true,0xc369b614c5451c64,0xf781a3e75e5e30f3,47,384,true,true
13,true,false,true,14,a-one-tick-late,0x63e400000,1,1,1,1,1,1,2,1,3,0,true,0xd8c9ff4d7a9e96ac,0xab8d2612a12915cc,47,384,true,true
13,true,false,true,14,a-blocked,0x63e500000,1,1,1,1,1,0,-1,1,2,0,true,0xcc34e8e2fd983579,0x263d2420ed28ec43,37,384,true,true
13,true,false,true,14,a-stale,0x63e600000,1,1,1,1,1,0,-1,1,3,1,true,0xbf19f4d7151a586,0xa5c95beb5b95fe64,50,384,true,true
14,false,true,true,14,a-absent,0x63f000000,0,1,1,1,1,0,-1,1,2,0,true,0x66f767fb5c89625,0xc8944f2deecf2ed1,28,384,true,true
14,false,true,true,14,a-one-tick-early,0x63f100000,1,1,0,0,1,1,0,-1,2,0,true,0xc66a4693f1bf2f0,0x23da7808fd5dd6,31,384,true,true
14,false,true,true,14,a-coincident-before-b,0x63f200000,1,1,0,0,1,1,1,-1,2,0,true,0xd5d9720664522e6e,0x9c6c3dee4c4038d1,31,384,true,true
14,false,true,true,14,a-coincident-after-b,0x63f300000,1,1,1,1,1,1,1,1,3,0,true,0x2b700a48435feccd,0x89629f389b5f26,47,384,true,true
14,false,true,true,14,a-one-tick-late,0x63f400000,1,1,1,1,1,1,2,1,3,0,true,0xa9f4c6b43e6429b1,0xee93fc4258761e85,47,384,true,true
14,false,true,true,14,a-blocked,0x63f500000,1,1,1,1,1,0,-1,1,2,0,true,0x601fbd93857162a4,0xcab6f069d606d77e,38,384,true,true
14,false,true,true,14,a-stale,0x63f600000,1,1,1,1,1,0,-1,1,3,1,true,0x7cb0bb669a6b5ee3,0x23f2e382bb8f0f49,50,384,true,true
15,true,true,true,14,a-absent,0x640000000,0,1,1,1,1,0,-1,1,2,0,true,0xf5b58b8f3d737a34,0x932b3f7f7bea89b4,28,384,true,true
15,true,true,true,14,a-one-tick-early,0x640100000,1,1,0,0,1,1,0,-1,2,0,true,0x64cd5f0ae89425bd,0xf5d94ac564f432cf,30,384,true,true
15,true,true,true,14,a-coincident-before-b,0x640200000,1,1,0,0,1,1,1,-1,2,0,true,0x16327f67bd13a75f,0x5d39e18057020bb4,31,384,true,true
15,true,true,true,14,a-coincident-after-b,0x640300000,1,1,1,1,1,1,1,1,3,0,true,0x7396c35e79a6bad0,0x103277fafc54e197,47,384,true,true
15,true,true,true,14,a-one-tick-late,0x640400000,1,1,1,1,1,1,2,1,3,0,true,0xa093b07beb7c58e8,0xb9c5544493b32378,47,384,true,true
15,true,true,true,14,a-blocked,0x640500000,1,1,1,1,1,0,-1,1,2,0,true,0xc96d4f3f9cf39d39,0x85b871af0f589797,37,384,true,true
15,true,true,true,14,a-stale,0x640600000,1,1,1,1,1,0,-1,1,3,1,true,0x8babd3ce5ebcb68e,0xe26f6d4ac75606d0,50,384,true,true
