stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
GATE,2220000001,32,45,02023231310102023231310102023231,10110110110110110110110110110110,10110110110110110110110110110110,true,true,true,true,true,17310742015526929172,16718326884922091538,13161422304436919905,18025547707876552992,1106840,64,64,true
GATE,2220000001,32,46,01023232310101023232310101023232,01110101110101110101110101110101,01110101110101110101110101110101,true,true,true,true,true,17310742015526929172,1305054688367433570,8408501404341747415,3731527577556952564,1106840,64,64,true
GATE,2220000001,32,47,02310102310102310102310102310102,11110111110111110111110111110111,11110111110111110111110111110111,true,true,true,true,true,17310742015526929172,3640460888851599130,8117455349320096328,1880654021802786588,1106864,64,64,true
GATE,2220000001,32,48,01320232013101320232013101320232,00001100001100001100001100001100,00001100001100001100001100001100,true,true,true,true,true,17310742015526929172,7127201628499120522,6112960576816633157,13860818516766217232,1106840,64,64,true
GATE,2220000001,32,49,02013102013102013102013102013102,10001110001110001110001110001110,10001110001110001110001110001110,true,true,true,true,true,17310742015526929172,18344224634534470418,17090293961592780026,6697570587069796644,1106864,64,64,true
GATE,2220000001,32,50,01013101013101013101013101013101,01001101001101001101001101001101,01001101001101001101001101001101,true,true,true,true,true,17310742015526929172,11056907253040431074,718651502844354731,3008575378343606648,1106876,64,64,true
GATE,2220000001,32,51,02320231013102320231013102320231,11001111001111001111001111001111,11001111001111001111001111001111,true,true,true,true,true,17310742015526929172,4090973007032524762,16363730960220812910,12581074389528871244,1106840,64,64,true
GATE,2220000001,32,52,01313101313101313101313101313101,00101100101100101100101100101100,00101100101100101100101100101100,true,true,true,true,true,17310742015526929172,16641623159117571622,13408212330963747704,158265424281911512,1106846,64,64,true
GATE,2220000001,32,53,02020231313102020231313102020231,10101110101110101110101110101110,10101110101110101110101110101110,true,true,true,true,true,17310742015526929172,15391453440539414238,17566581506862603291,13187298547015308864,1106846,64,64,true
GATE,2220000001,32,54,01020232313101020232313101020232,01101101101101101101101101101101,01101101101101101101101101101101,true,true,true,true,true,17310742015526929172,6475627734550231694,16677331199660179857,17981637854943062724,1106846,64,64,true
GATE,2220000001,32,55,02313102313102313102313102313102,11101111101111101111101111101111,11101111101111101111101111101111,true,true,true,true,true,17310742015526929172,8204046631343081910,1584429044692745912,11077811093428658372,1106834,64,64,true
GATE,2220000001,32,56,01323101323101323101323101323101,00011100011100011100011100011100,00011100011100011100011100011100,true,true,true,true,true,17310742015526929172,8658879631051610746,13250316736186313241,13406803850588918116,1106836,64,64,true
GATE,2220000001,32,57,02010231323102010231323102010231,10011110011110011110011110011110,10011110011110011110011110011110,true,true,true,true,true,17310742015526929172,6337131288391733890,1240909049383557291,3038882028443203936,1106848,64,64,true
GATE,2220000001,32,58,01010232323101010232323101010232,01011101011101011101011101011101,01011101011101011101011101011101,true,true,true,true,true,17310742015526929172,7408540718858462818,3949517116312335521,12214661189174475892,1106848,64,64,true
GATE,2220000001,32,59,02323102323102323102323102323102,11011111011111011111011111011111,11011111011111011111011111011111,true,true,true,true,true,17310742015526929172,8314319384836692570,9880640550048115405,9961518665336016416,1106824,64,64,true
GATE,2220000001,32,60,01310232023101310232023101310232,00111100111100111100111100111100,00111100111100111100111100111100,true,true,true,true,true,17310742015526929172,6874625184821103558,9865733861140438895,10476900886249674116,1106842,64,64,true
GATE,2220000001,32,61,02023102023102023102023102023102,10111110111110111110111110111110,10111110111110111110111110111110,true,true,true,true,true,17310742015526929172,14735888390157007390,6010698660161560473,7134424348743441908,1106854,64,64,true
GATE,2220000001,32,62,01023101023101023101023101023101,01111101111101111101111101111101,01111101111101111101111101111101,true,true,true,true,true,17310742015526929172,740803987321498814,24927005969885892,4060051346324483288,1106866,64,64,true
GATE,2220000001,32,63,02310231023102310231023102310231,11111111111111111111111111111111,11111111111111111111111111111111,true,true,true,true,true,17310742015526929172,18225890890240766918,14951153006189907828,9328283553448551488,1106842,64,64,true
