seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
8,false,false,false,14,b-tick-3-after-output,0x649400000,0xde93efd7a046263c,0xc8e17fe92f634b11,1,1,1,1,1,2,1,3,2,2,true,true,0,0x8ee529c3bef6201c,0xb315e8668420095,66,496,true,true
8,false,false,false,14,b-blocked,0x649500000,0x9799c0aa27f87901,0xcca43ca3e43a8a58,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xd6a777cbe1dceb1,0xa375333bf6e9e5f1,56,496,true,true
8,false,false,false,14,b-stale,0x649600000,0xe0701b0ce467714f,0x70e436fa9c77422e,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x361a5eb6cdff095a,0x9297f9406b690eb0,71,496,true,true
9,true,false,false,14,b-absent-through-closure,0x64a000000,0x40b59416f1aa9dcd,0xe4a2b2a63d675ea8,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x577833c5995b72dc,0xa4cd2c4419e7812d,46,496,true,true
9,true,false,false,14,b-tick-1-after-trigger,0x64a100000,0x5adf54ed874bc6dd,0x3b90c6211f561fb8,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x23614b267f14c98e,0x4343fb2d12153edd,48,496,true,true
9,true,false,false,14,b-tick-2-before-closure,0x64a200000,0x25551514554e2d72,0x48a60a86a4d87d3,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x4f61b1009d03424c,0x84ce6bc302a250d2,48,496,true,true
9,true,false,false,14,b-tick-2-after-closure,0x64a300000,0xc20cf274acd47145,0x4e96a6b275bb3d8c,1,1,1,1,1,2,1,2,2,2,true,true,0,0xae98130475d7fdc5,0x8383a65a9aef31dc,66,496,true,true
9,true,false,false,14,b-tick-3-after-output,0x64a400000,0x3456655f1eef382b,0x1ed834a6667bad4e,1,1,1,1,1,2,1,3,2,2,true,true,0,0x7f7ea7a6db78bb9f,0x972a03a8eea9ecce,66,496,true,true
9,true,false,false,14,b-blocked,0x64a500000,0x8783bd1b1b70b03a,0x84b840f71b17fc1b,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xf4575de0dfd5a762,0x7d00c0da436df1fa,57,496,true,true
9,true,false,false,14,b-stale,0x64a600000,0x8318b3764b9a30e0,0x8b0e86c61181a881,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xdeeb1444d19b3f25,0xedbc3d8c85e87bbf,71,496,true,true
10,false,true,false,14,b-absent-through-closure,0x64b000000,0xcd8fd68ef8056b24,0xeb8a769c9566b641,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x93c4625578204fd1,0x44e9a7314ecb4c94,46,496,true,true
10,false,true,false,14,b-tick-1-after-trigger,0x64b100000,0xb559de50ed33ae94,0x2b7cc0736fde64f1,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x2fc10a3a90b8543,0x8099c1dda9c19864,47,496,true,true
10,false,true,false,14,b-tick-2-before-closure,0x64b200000,0xe1b9372fab304647,0x66e80b948900ae96,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x97abe9190610dfc5,0x93a5b9399ab793f7,48,496,true,true
10,false,true,false,14,b-tick-2-after-closure,0x64b300000,0x6c1256f427945ecc,0xd73ebd38336debad,1,1,1,1,1,2,1,2,2,2,true,true,0,0x84bd92cba394e70,0x6486e1942337ef85,66,496,true,true
10,false,true,false,14,b-tick-3-after-output,0x64b400000,0x7f195d91b64642ce,0x3b6aec86859dd5cb,1,1,1,1,1,2,1,3,2,2,true,true,0,0xdbb163f5295c967e,0x840df53977752b7b,66,496,true,true
10,false,true,false,14,b-blocked,0x64b500000,0x29d57ffcd6f69be7,0x4f740095a1abaa7e,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xfe066974879c8e8b,0xb260bbc8f0c458f7,56,496,true,true
10,false,true,false,14,b-stale,0x64b600000,0x3a2a2764b044fd29,0xf8dc6dff7ec01e88,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xdea16335b3aec688,0xd39ac71c219248b2,71,496,true,true
11,true,true,false,14,b-absent-through-closure,0x64c000000,0xee55cc16257540cb,0x674aebba091cb8be,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x51ff30a1ea4df886,0x15d97788af3ec88b,46,496,true,true
11,true,true,false,14,b-tick-1-after-trigger,0x64c100000,0x8b7a78c8bac349fb,0x44856489a7989ce,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x3bb2dd7f2c7b658c,0x3fe454917f3519b,47,496,true,true
11,true,true,false,14,b-tick-2-before-closure,0x64c200000,0xe94067f2c4f99460,0x34a478092caafc51,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x58f8c047713ab592,0x79264fe59148e460,48,496,true,true
11,true,true,false,14,b-tick-2-after-closure,0x64c300000,0x1ab1216037d89f57,0x9918025060b7acae,1,1,1,1,1,2,1,2,2,2,true,true,0,0x4e48009c232acc7f,0xf68d8480c7c6d25a,66,496,true,true
11,true,true,false,14,b-tick-3-after-output,0x64c400000,0x665002b2eee3382d,0x11ab0faa2bb3d2d8,1,1,1,1,1,2,1,3,2,2,true,true,0,0x5d5c04c2f3689b71,0x7b146156b8c9f024,66,496,true,true
11,true,true,false,14,b-blocked,0x64c500000,0x28e75904c4239728,0xc08f1a117aad0159,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x684f3738fd2a4c44,0x9ee53c1be554ea48,56,496,true,true
