stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
MICRO,1710000000,0,12,E0-B-only,64,0,64,0,64,4,1,12,64,12,64,12,64,true,true,9,0,0,3,9,-3,64,12,8,0,credit edge,false
MICRO,1710000000,0,12,E0-B-only,1024,0,1024,0,1024,4,1,12,1024,12,1024,12,1024,true,true,9,0,0,3,9,-3,1024,12,8,0,credit edge,false
MICRO,1710000000,0,12,E0-B-only,10000,0,10000,0,10000,4,1,12,10000,12,10000,12,10000,true,true,9,0,0,3,9,-3,10000,12,8,0,credit edge,false
MICRO,1710000000,0,12,E1-paired,0,0,0,0,0,4,4,12,0,12,0,12,0,true,false,9,0,0,0,9,0,3,9,4,4,execution edge,false
MICRO,1710000000,0,12,E1-paired,4,4,4,4,4,4,4,16,4,12,4,10,4,true,true,12,0,0,3,12,-3,5,15,4,4,credit edge,false
MICRO,1710000000,0,12,E1-paired,16,16,16,16,16,4,1,28,16,12,16,4,16,true,true,12,0,0,3,12,-3,29,15,8,0,credit edge,false
MICRO,1710000000,0,12,E1-paired,64,64,64,64,64,4,4,76,64,32,64,0,64,false,true,12,43,44,3,-32,40,38,102,4,4,none,false
MICRO,1710000000,0,12,E1-paired,1024,288,1760,288,1760,1,4,300,1760,144,1760,0,1760,false,true,12,1739,268,3,-256,1736,38,2022,0,8,none,true
MICRO,1710000000,0,12,E1-paired,10000,288,19712,288,19712,1,4,300,19712,144,19712,0,19712,false,true,12,19691,268,3,-256,19688,38,19974,0,8,none,true
MICRO,1710000000,0,14,E0-B-only,0,0,0,0,0,4,4,14,0,14,0,14,0,true,false,11,0,0,0,11,0,3,11,4,4,execution edge,false
MICRO,1710000000,0,14,E0-B-only,4,0,4,0,4,4,4,14,4,14,4,14,4,true,true,11,0,0,3,11,-3,4,14,4,4,credit edge,false
MICRO,1710000000,0,14,E0-B-only,16,0,16,0,16,4,4,14,16,14,16,14,16,true,true,11,0,0,3,11,-3,16,14,4,4,credit edge,false
MICRO,1710000000,0,14,E0-B-only,64,0,64,0,64,4,1,14,64,14,64,14,64,true,true,11,0,0,3,11,-3,64,14,8,0,credit edge,false
MICRO,1710000000,0,14,E0-B-only,1024,0,1024,0,1024,4,1,14,1024,14,1024,14,1024,true,true,11,0,0,3,11,-3,1024,14,8,0,credit edge,false
MICRO,1710000000,0,14,E0-B-only,10000,0,10000,0,10000,4,1,14,10000,14,10000,14,10000,true,true,11,0,0,3,11,-3,10000,14,8,0,credit edge,false
MICRO,1710000000,0,14,E1-paired,0,0,0,0,0,4,4,14,0,14,0,14,0,true,false,11,0,0,0,11,0,3,11,4,4,execution edge,false
MICRO,1710000000,0,14,E1-paired,4,4,4,4,4,4,4,18,4,14,4,12,4,true,true,14,0,0,3,14,-3,5,17,4,4,credit edge,false
MICRO,1710000000,0,14,E1-paired,16,16,16,16,16,4,1,30,16,14,16,6,16,true,true,14,0,0,3,14,-3,29,17,8,0,credit edge,false
MICRO,1710000000,0,14,E1-paired,64,64,64,64,64,4,4,78,64,32,64,0,64,false,true,14,39,40,3,-26,36,46,96,4,4,none,false
MICRO,1710000000,0,14,E1-paired,1024,343,1705,343,1705,1,4,357,1705,172,1705,1,1705,false,true,14,1680,319,3,-305,1677,46,2016,0,8,none,true
MICRO,1710000000,0,14,E1-paired,10000,343,19657,343,19657,1,4,357,19657,172,19657,1,19657,false,true,14,19632,319,3,-305,19629,46,19968,0,8,none,true
MICRO,1710000000,0,16,E0-B-only,0,0,0,0,0,4,4,16,0,16,0,16,0,true,false,13,0,0,0,13,0,3,13,4,4,execution edge,false
MICRO,1710000000,0,16,E0-B-only,4,0,4,0,4,4,4,16,4,16,4,16,4,true,true,13,0,0,3,13,-3,4,16,4,4,credit edge,false
MICRO,1710000000,0,16,E0-B-only,16,0,16,0,16,4,4,16,16,16,16,16,16,true,true,13,0,0,3,13,-3,16,16,4,4,credit edge,false
MICRO,1710000000,0,16,E0-B-only,64,0,64,0,64,4,1,16,64,16,64,16,64,true,true,13,0,0,3,13,-3,64,16,8,0,credit edge,false
MICRO,1710000000,0,16,E0-B-only,1024,0,1024,0,1024,4,1,16,1024,16,1024,16,1024,true,true,13,0,0,3,13,-3,1024,16,8,0,credit edge,false
MICRO,1710000000,0,16,E0-B-only,10000,0,10000,0,10000,4,1,16,10000,16,10000,16,10000,true,true,13,0,0,3,13,-3,10000,16,8,0,credit edge,false
MICRO,1710000000,0,16,E0-B-only,60000,0,60000,0,60000,4,1,16,60000,16,60000,16,60000,true,true,13,0,0,3,13,-3,60000,16,8,0,credit edge,false
MICRO,1710000000,0,16,E1-paired,0,0,0,0,0,4,4,16,0,16,0,16,0,true,false,13,0,0,0,13,0,3,13,4,4,execution edge,false
MICRO,1710000000,0,16,E1-paired,4,4,4,4,4,4,4,20,4,16,4,14,4,true,true,16,0,0,3,16,-3,5,19,4,4,credit edge,false
MICRO,1710000000,0,16,E1-paired,16,16,16,16,16,4,1,32,16,16,16,8,16,true,true,16,0,0,3,16,-3,29,19,8,0,credit edge,false
MICRO,1710000000,0,16,E1-paired,64,64,64,64,64,4,4,80,64,32,64,0,64,false,true,16,35,36,3,-20,32,54,90,4,4,none,false
