original_category,primary_kind,layer,path,line,match,semantic_risk,evaluator_input_risk,source_line
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",405,"event(seed",0,1,"            let long_key = event(seed + 45_000, 41).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",413,"event(seed",0,1,"            let original = event(seed + 51_000, 50).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",414,"broken_event(seed",0,1,"            let (changed, broken) = broken_event(seed + 51_001, 50);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",424,"event(seed",0,1,"                let key = event(seed + 60_000 + relation as u64, relation).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",433,"event(seed",0,1,"                no_pressure.observe(event(seed + 70_000 + relation as u64, relation).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",438,"event(seed",0,1,"                *key == event(seed ^ 0x5a5a_5a5a, relation).0"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",479,"event(seed",0,1,"                let key = event(seed + 20_000 + index as u64, relation).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",482,"event((seed",0,1,"                let relabelled = event((seed ^ 0x6d6d_0000) + index as u64, relation).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",492,"event(seed",0,1,"                let key = event(seed + 31_000 + index as u64, relation).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",499,"event(seed",0,1,"            let high_key = event(seed + 40_100, 40).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",505,"event(seed",0,1,"            let low_key = event(seed + 42_100, 41).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",511,"event(seed",0,1,"            let reuse_key = event(seed + 44_100, 42).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",519,"event(seed",0,1,"                oneoffs.observe(event(seed + 50_000 + relation as u64, relation).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",522,"event(seed",0,1,"                !oneoffs.available(&event(seed + 51_000 + relation as u64, relation).0)"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",525,"event(seed",0,1,"            let reacquired = oneoffs.available(&event(seed + 52_100, 50).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",529,"event(seed",0,1,"            let original = event(seed + 53_100, 60).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",530,"broken_event(seed",0,1,"            let (changed, broken) = broken_event(seed + 53_101, 60);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",535,"event(seed",0,1,"                no_pressure.observe(event(seed + 54_000 + relation as u64, relation).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",544,"event(seed",0,1,"                fresh_layout_exact &= event(seed ^ 0xffff, 90).0 == event(seed, 90).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",544,"event(seed",0,1,"                fresh_layout_exact &= event(seed ^ 0xffff, 90).0 == event(seed, 90).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",574,"event(seed",0,1,"            let key = event(seed + 900, 10).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",582,"event(seed",0,1,"            let key = event(seed + 900, 11).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",642,"event(seed",0,1,"                ascending.observe(event(seed + 141_000 + ordinal as u64, 80 + ordinal).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",643,"event(seed",0,1,"                descending.observe(event(seed + 141_000 + ordinal as u64, 111 - ordinal).0);"
