seed,stratum,scenario,namespace,schedule_class,arrival_order,first_use_delay,o1_first_observed_dead_wait,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_source_refiring,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_source_refiring,postgap_source_refiring,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,passed
6,G2,participation-without-return,0x5a5000000,forward*24,normal,20,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,131051,9518009452023713295,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,joint-participation,0x5a6000000,joint*24,normal,20,30,46|46,3|3,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,148760,13238752393830548689,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,adversarial-correlation-forward-traversal,0x5a7000000,forward*24,normal,20,30,45|45,3|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,165341,10875177044367595507,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,adversarial-correlation-reverse-traversal,0x5a8000000,reverse*24,normal,20,30,45|45,0|3,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,165389,11054473875494935291,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,forward-participation,0x5b2000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,365565,3003193868058812537,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,reverse-participation,0x5b3000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,365565,4180247467482499369,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,correlation-only,0x5b4000000,no-traversal*24,reverse,21,30,45|45,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,359009,6680284747949613068,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,participation-without-return,0x5b5000000,forward*24,reverse,21,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,346768,9547668237123608392,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,joint-participation,0x5b6000000,joint*24,reverse,21,30,45|45,4|4,40|40,40|40,24|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,372808,8197146601926581553,true,true,true,true,true,true,true,true,true,true,true,true
7,G3,adversarial-correlation-forward-traversal,0x5b7000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,395492,12387551144755554293,true,true,true,true,true,true,true,true,true,true,true,true
