stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
MICRO,1910000000,baseline,8,1:4,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,8,0,true,false,5,0,0,0,5,0,4,4,3,5,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:4,0,90,0,0,1,72,18,72,18,72,18,0,80,18,24,18,2,18,true,true,21,0,0,3,21,-3,4,1,74,24,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:4,0,900,0,0,1,720,180,720,180,720,180,0,728,180,184,180,1,180,false,true,21,21,89,3,-68,18,4,4,774,134,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:4,0,4500,0,0,1,3600,900,3600,900,3600,900,0,3608,900,909,900,9,900,true,true,21,239,889,3,-868,236,4,4,3356,1152,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:4,0,9000,0,0,1,7200,1800,7200,1800,7200,1800,0,7208,1800,1809,1800,7,1800,true,true,21,478,1772,3,-1751,475,1,4,6734,2274,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,8,1:4,0,18000,0,0,1,14400,3600,14400,3600,14400,3600,0,14408,3600,3607,3600,4,3600,true,true,21,962,3571,3,-3550,959,1,4,13451,4557,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,8,1:2,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,8,0,true,false,5,0,0,0,5,0,4,4,3,5,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:2,0,90,0,0,1,60,30,60,30,60,30,0,68,30,24,30,8,30,true,true,13,0,0,3,13,-3,4,1,82,16,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:2,0,900,0,0,1,600,300,600,300,600,300,0,608,300,163,300,11,300,true,true,13,0,0,3,13,-3,4,1,892,16,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:2,0,4500,0,0,1,3000,1500,3000,1500,3000,1500,0,3008,1500,767,1500,19,1500,true,true,13,0,0,3,13,-3,4,1,4492,16,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:2,0,9000,0,0,1,6000,3000,6000,3000,6000,3000,0,6008,3000,1513,3000,9,3000,true,true,13,0,0,3,13,-3,4,1,8992,16,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:2,0,18000,0,0,1,12000,6000,12000,6000,12000,6000,0,12008,6000,3013,6000,14,6000,true,true,13,0,0,3,13,-3,4,1,17992,16,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,8,0,true,false,5,0,0,0,5,0,4,4,3,5,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:1,0,90,0,0,1,45,45,45,45,45,45,0,53,45,21,45,10,45,true,true,9,0,0,3,9,-3,4,1,86,12,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:1,0,900,0,0,1,450,450,450,450,450,450,0,458,450,121,450,8,450,true,true,9,0,0,3,9,-3,4,1,896,12,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2258,2250,571,2250,6,2250,true,true,9,3,3,3,6,0,4,1,4490,18,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4508,4500,1131,4500,1,4500,false,true,9,1060,1060,3,-1051,1057,4,4,6876,2132,4,4,MIXED,true,true,true
