stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
MICRO,2210000002,16,1,0201323201313201,1000010000100001,0111101111011110,true,true,true,true,true,5720778510040213613,11985663977567601304,17323052276928097320,16986145615240839729,277962,32,32,true
MICRO,2210000002,16,2,0101320201323201,0100001000010000,1011110111101111,true,true,true,true,true,5720778510040213613,6045510890859624704,1971534535604404460,17283775777834075073,277968,32,32,true
MICRO,2210000002,16,3,0232010201310132,1100011000110001,0011100111001110,true,true,true,true,true,5720778510040213613,7756333730467857188,11523833291737029896,7814818370508489473,277968,32,32,true
MICRO,2210000002,16,4,0131320101320201,0010000100001000,1101111011110111,true,true,true,true,true,5720778510040213613,16164109488328450896,17813369603795280660,13683851607351212805,277970,32,32,true
MICRO,2210000002,16,5,0202010101313132,1010010100101001,0101101011010110,true,true,true,true,true,5720778510040213613,16068926108138451316,18036189565481568296,11157544099429068753,277970,32,32,true
MICRO,2210000002,16,6,0102013101323132,0110001100011000,1001110011100111,true,true,true,true,true,5720778510040213613,14101292306007922684,10734406064341210799,9346069020064582553,277964,32,32,true
MICRO,2210000002,16,7,0231323101310201,1110011100111001,0001100011000110,true,true,true,true,true,5720778510040213613,1954611505984392464,4221454512205463707,8178807638089613481,277964,32,32,true
MICRO,2210000002,16,8,0132320131320101,0001000010000100,1110111101111011,true,true,true,true,true,5720778510040213613,9989161976202270804,8976410385706541109,7850682534734281701,277964,32,32,true
MICRO,2210000002,16,9,0201010131313232,1001010010100101,0110101101011010,true,true,true,true,true,5720778510040213613,10176579364551228440,4581298934331773011,5890842216120071833,277964,32,32,true
MICRO,2210000002,16,10,0101013131323232,0101001010010100,1010110101101011,true,true,true,true,true,5720778510040213613,17795390299380626288,2286612523147594324,11385402117603800241,277958,32,32,true
MICRO,2210000002,16,11,0232323131310101,1101011010110101,0010100101001010,true,true,true,true,true,5720778510040213613,4095167171297600484,445465758645201126,5635382744524033097,277958,32,32,true
MICRO,2210000002,16,12,0131013231320232,0011000110001100,1100111001110011,true,true,true,true,true,5720778510040213613,10592758505795602672,3975785620088850759,13633803155603086765,277956,32,32,true
MICRO,2210000002,16,13,0202323231313101,1011010110101101,0100101001010010,true,true,true,true,true,5720778510040213613,8026048707972294244,3656324017051200085,15102257839377753505,277956,32,32,true
MICRO,2210000002,16,14,0102320231323101,0111001110011100,1000110001100011,true,true,true,true,true,5720778510040213613,15630950797424866524,10002201230687700637,17671180807407195377,277962,32,32,true
MICRO,2210000002,16,15,0231010231310232,1111011110111101,0000100001000010,true,true,true,true,true,5720778510040213613,6622472365194883104,1476953992109953579,11924692038208379545,277962,32,32,true
