row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,same_source_bursts,14266677523427721568,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,same_source_bursts,3706507665390472904,1,0,true,false,false,false,true,34,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d2-tr0-a2,probe,same_source_bursts,1625523626803678412,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d2-tr0-a2,probe,same_source_bursts,13786143528246728612,1,0,true,false,false,false,true,34,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d3-tr0-a2,probe,same_source_bursts,18335278887221766092,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d3-tr0-a2,probe,same_source_bursts,1852127089490766880,1,0,true,false,false,false,true,34,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d4-tr0-a2,probe,same_source_bursts,5794018598360991800,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d4-tr0-a2,probe,same_source_bursts,4907641571383989308,1,0,true,false,false,false,true,34,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d5-tr0-a2,probe,same_source_bursts,17349174544114389776,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d5-tr0-a2,probe,same_source_bursts,16915929825670633376,1,0,true,false,false,false,true,34,18,272,272,true,true
f1-one-path-s101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,same_source_bursts,4565720307102994135,2,1,true,true,true,false,false,63,41,272,272,true,true
f1-a-burst-4-s101-m0-r0-t2-c2-l0-d4-tr0-a2,probe,same_source_bursts,3157612579893731694,2,0,true,true,false,false,true,63,29,272,272,true,true
f2-one-strong-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,15188124625534244926,1,0,true,true,false,false,true,16,4,160,160,true,true
f2-two-weak-distinct-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,850530831120181761,1,1,false,false,false,true,true,21,19,160,160,true,true
