row_type,protocol,stage,claim_eligible,M6_authoritative,M7_exists,family,condition,variant,target,target_supporters,competitor_supporters,winner,expected_winner,commitment_tick,duplicate_exact,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status,classification
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_early,canonical,1,5,4,1,1,6,true,7234222a8e495ac5,440cef4fd57feaa1,e24d827332152f7f,316ea00175218f84,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_late,canonical,1,5,4,0,0,7,true,23a12ff7ba417550,190662ffddfb7fe0,d969046bd9633330,3e2be8582e87a99e,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_late,canonical,1,5,4,0,0,7,true,385ae577285fba89,74abb0977aa9173d,f365756be81b2f31,e6f1f06d7767e3be,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_early,canonical,1,6,4,1,1,6,true,c7e5922e3a7760db,684df463b2edc503,7b42cab7ec51a3ba,80fe805bb58dd134,541,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_early,canonical,1,6,4,1,1,6,true,aa66cc72fc724708,1a60397787bf60a0,e2de5e96a1f0e894,19b6a4151b21de3f,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_early,canonical,1,6,4,1,1,6,true,319133d66bbaef0f,bc55bd8cd67c9857,3cd9edf713d17726,6049bda96c31a480,544,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_late,canonical,1,6,4,0,0,7,true,02c8603e115d0af0,1e8b9872c8df98f8,e4236e9f589d8d32,312609a0e3704b61,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_late,canonical,1,6,4,0,0,7,true,87ff1be86bcfaf34,21edff8c6d8a17e8,c6dfc1a28db2f1ca,3659ed8a1cdc909c,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_late,canonical,1,6,4,0,0,7,true,ed6886078b045d8d,bb4b54ddee824999,940fb8cd199f721c,9f027784a9de4eed,540,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_before,fresh_alloc_layout,0,5,4,0,0,6,true,23687097a4132dba,18e91f46dfd1e1b9,46a445b855051374,6844b4d3c6822fb6,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_before,fresh_alloc_layout,0,5,4,0,0,6,true,21d109906e12bb1f,acab29916fdd4a08,8bea18857c8aa41a,1543453327f195e7,463,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_before,fresh_alloc_layout,0,5,4,0,0,7,true,2481d516b5e6ffd0,ca9a30d87f58b917,9f9ca58552eb69d6,0560ec7fbcd64c6c,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_after,fresh_alloc_layout,0,5,4,1,1,7,true,5637633a2fe62273,011a9d2ae645e964,6b457cf5c268e3cc,2ba692f3166f369f,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_after,fresh_alloc_layout,0,5,4,1,1,7,true,2659cb5ae228807c,6ef88054677e1b9b,fed50610963ae1c0,e0b9298296a070b0,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_after,fresh_alloc_layout,0,5,4,1,1,7,true,eec337cc179a0b27,374e9af4d17edf18,97e5cde845d6bcf8,868f69990711a938,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,zero,fresh_alloc_layout,0,4,4,1,1,7,true,e06a7594a7c9597a,8a4b2f28d1a76fe1,a61cb12c93ca59d1,ade5930547d4387f,387,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_early,fresh_alloc_layout,0,5,4,0,0,6,true,a8267f9742636406,7bd870e5bd9f47f5,4d863a1b57bb1a78,af279743361dbe42,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_early,fresh_alloc_layout,0,6,4,0,0,6,true,1dc86a39fe01fd47,0140ed42ae67e698,6e0a99778e60ecac,1186334824c07e64,545,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_late,fresh_alloc_layout,0,5,4,1,1,7,true,69763141b1db06c2,1cd1b91cea28de71,9c31abad75ffce62,bd89286a79ccca44,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_late,fresh_alloc_layout,0,6,4,1,1,7,true,2761d3f98eadcd1b,7dbc5cb95e4a0600,921a33b94ec2e582,dd6c67f6a33fdf93,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_early,fresh_alloc_layout,0,5,4,0,0,6,true,a8267f9742636406,7bd870e5bd9f47f5,4d863a1b57bb1a78,af279743361dbe42,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
