stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
GATE v1,56,0xc30003800000,-32|32|0|96,1|0|2|3,2,false,false,0,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,57,0xc30003900000,64|-64|0|-192,1|3|2|0,3,false,true,1,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,58,0xc30003a00000,-8|8|0|24,2|3|0|1,0,true,true,2,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1329,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,59,0xc30003b00000,16|-16|0|-48,3|1|2|0,1,true,true,3,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1334,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,60,0xc30003c00000,-32|32|0|96,0|2|1|3,2,false,false,4,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,61,0xc30003d00000,64|-64|0|-192,1|0|3|2,3,false,false,5,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,62,0xc30003e00000,-8|8|0|24,2|0|1|3,0,true,false,0,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1339,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,63,0xc30003f00000,16|-16|0|-48,2|3|1|0,1,true,true,1,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1337,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,64,0xc30004000000,-32|32|0|96,3|2|0|1,2,false,true,2,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,65,0xc30004100000,64|-64|0|-192,0|2|3|1,3,false,true,3,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1333,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,66,0xc30004200000,-8|8|0|24,1|2|0|3,0,true,false,4,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,67,0xc30004300000,16|-16|0|-48,2|0|3|1,1,true,false,5,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,68,0xc30004400000,-32|32|0|96,3|0|1|2,2,false,false,0,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1339,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,69,0xc30004500000,64|-64|0|-192,3|2|1|0,3,false,true,1,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,70,0xc30004600000,-8|8|0|24,0|3|1|2,0,true,true,2,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,71,0xc30004700000,16|-16|0|-48,1|2|3|0,1,true,true,3,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
