stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
PROBE,1900000000,phase,32,1:1,1,900,0,0,1,450,450,450,450,450,450,0,482,450,144,450,31,450,true,true,32,0,0,3,32,-3,4,1,897,35,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,32,1:1,1,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2282,2250,596,2250,31,2250,true,true,32,0,0,3,32,-3,4,1,4497,35,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,32,1:1,1,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4532,4500,1162,4500,32,4500,true,true,32,0,0,3,32,-3,4,1,8997,35,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,32,1:1,1,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9032,9000,2293,9000,31,9000,true,true,32,0,0,3,32,-3,4,1,17997,35,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,0,0,0,1,0,0,0,0,0,0,0,128,0,128,0,128,0,true,false,125,0,0,0,125,0,4,1,3,125,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,90,0,0,1,45,45,45,45,45,45,0,173,45,139,45,127,45,true,true,128,0,0,3,128,-3,4,1,87,131,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,900,0,0,1,450,450,450,450,450,450,0,578,450,240,450,127,450,true,true,128,0,0,3,128,-3,4,1,897,131,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2378,2250,692,2250,127,2250,true,true,128,0,0,3,128,-3,4,1,4497,131,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4628,4500,1258,4500,128,4500,true,true,128,0,0,3,128,-3,4,1,8997,131,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,128,1:1,1,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9128,9000,2389,9000,127,9000,true,true,128,0,0,3,128,-3,4,1,17997,131,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,0,1:4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
PROBE,1900000001,baseline,0,1:4,0,90,1,0,1,72,18,72,18,72,18,0,72,18,22,18,3,18,true,true,2,12,43,0,-41,12,4,4,33,57,4,4,MIXED,true,true,true
