stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
definitive,38,0xc40002600000,64|-64|0|-192,3|0|2|1,1,false,true,2,4,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,39,0xc40002700000,-8|8|0|24,0|1|2|3,2,false,false,3,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,40,0xc40002800000,16|-16|0|-48,0|3|2|1,3,true,false,4,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1363,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,41,0xc40002900000,-32|32|0|96,1|3|0|2,0,true,false,5,4,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1369,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,42,0xc40002a00000,64|-64|0|-192,2|1|3|0,1,false,true,0,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1278,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,43,0xc40002b00000,-8|8|0|24,3|1|0|2,2,false,true,1,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1303,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,44,0xc40002c00000,16|-16|0|-48,0|1|3|2,3,true,true,2,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1277,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,45,0xc40002d00000,-32|32|0|96,1|0|2|3,0,true,false,3,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1277,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,46,0xc40002e00000,64|-64|0|-192,1|3|2|0,1,false,false,4,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1317,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,47,0xc40002f00000,-8|8|0|24,2|3|0|1,2,false,false,5,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1297,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,48,0xc40003000000,16|-16|0|-48,3|1|2|0,3,true,true,0,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1338,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,49,0xc40003100000,-32|32|0|96,0|2|1|3,0,true,true,1,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,50,0xc40003200000,64|-64|0|-192,1|0|3|2,1,false,true,2,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1329,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,51,0xc40003300000,-8|8|0|24,2|0|1|3,2,false,false,3,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1329,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,52,0xc40003400000,16|-16|0|-48,2|3|1|0,3,true,false,4,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1346,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,53,0xc40003500000,-32|32|0|96,3|2|0|1,0,true,false,5,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,54,0xc40003600000,64|-64|0|-192,0|2|3|1,1,false,true,0,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1336,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,55,0xc40003700000,-8|8|0|24,1|2|0|3,2,false,true,1,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,56,0xc40003800000,16|-16|0|-48,2|0|3|1,3,true,true,2,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,57,0xc40003900000,-32|32|0|96,3|0|1|2,0,true,false,3,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1330,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,58,0xc40003a00000,64|-64|0|-192,3|2|1|0,1,false,false,4,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,59,0xc40003b00000,-8|8|0|24,0|3|1|2,2,false,false,5,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,60,0xc40003c00000,16|-16|0|-48,1|2|3|0,3,true,true,0,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1336,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,61,0xc40003d00000,-32|32|0|96,2|1|0|3,0,true,true,1,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,62,0xc40003e00000,64|-64|0|-192,3|0|2|1,1,false,true,2,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,63,0xc40003f00000,-8|8|0|24,0|1|2|3,2,false,false,3,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,64,0xc40004000000,16|-16|0|-48,0|3|2|1,3,true,false,4,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,65,0xc40004100000,-32|32|0|96,1|3|0|2,0,true,false,5,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,66,0xc40004200000,64|-64|0|-192,2|1|3|0,1,false,true,0,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,67,0xc40004300000,-8|8|0|24,3|1|0|2,2,false,true,1,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1348,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,68,0xc40004400000,16|-16|0|-48,0|1|3|2,3,true,true,2,4,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,69,0xc40004500000,-32|32|0|96,1|0|2|3,0,true,false,3,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,70,0xc40004600000,64|-64|0|-192,1|3|2|0,1,false,false,4,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1363,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
