row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l0-d5-tr4-a2,micro,timing_transfer,10468921561666059687,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1223-m0-r0-t2-c1-l0-d0-tr0-a2,micro,shared_control,3616602871510115385,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1223-m0-r0-t2-c1-l4-d1-tr0-a2,micro,same_source_bursts,17568190559214327128,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1223-m0-r0-t2-c1-l4-d0-tr0-a6,micro,dense_return_topology,6035475665839217800,1,1,false,false,false,true,true,136,135,1024,1024,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d-1-tr0-a2,micro,timing_transfer,17329028813155344435,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d0-tr0-a2,micro,timing_transfer,2481090831309610485,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d1-tr0-a2,micro,timing_transfer,15816161387108535879,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d2-tr0-a2,micro,timing_transfer,18354026760406287525,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d3-tr0-a2,micro,timing_transfer,13990252610618855539,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d4-tr0-a2,micro,timing_transfer,11520312120357889365,0,0,false,false,false,true,true,62,66,272,272,true,true
