arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
C,5231,px0,acquisition,2009112434966528,0,0,12,0,2,1,true,false,4,0,a1|b2,528,4,0,20,1,992,3976126276236193911,3878464266391113069,true,true|true|true|true|true|true|true|true,true,true
C,5231,px0,probation,2009112436015104,0,0,0,0,2,1,false,false,1,0,a2|b2,109,1,0,5,2,992,16974653285240085568,15158287671213762311,true,true|true|true|true|true|true|true|true,true,true
C,5231,px0,stable-return-specificity,2009112437063680,0,0,4,1,2,1,true,true,1,1,a1|b1,180,1,0,9,0,992,9879888170399399881,11112477090995725645,true,true|true|true|true|true|true|true|true,true,true
C,5231,px0,forgetting,2009112438112256,0,0,0,0,2,1,false,false,4,0,a2|b2,546,4,0,20,2,992,2138262561101532790,4513622888363951684,true,true|true|true|true|true|true|true|true,true,true
C,5231,px0,fresh-reproposal,2009112439160832,0,0,1,0,1,0,true,false,4,0,old2|fresh6,85,0,0,6,1,560,1780670013863947279,14933089483526291813,true,true|true|true|true|true|true|true|true,true,true
C,5231,px0,reacquisition,2009112440209408,0,0,11,0,2,0,true,false,11,0,old2|fresh6,280,4,0,16,1,560,18361773869021935563,926904613754271305,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,support-a,2009112451743744,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,5650075855525577741,7693341509339797455,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,support-b,2009112452792320,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,9220140073320910929,17566238384502606943,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,no-support,2009112453840896,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,992,13694928574425146365,5647971971844274285,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,participation-return-blocked,2009112454889472,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,10931174169266551489,14818151004328348110,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,return-without-participation,2009112455938048,0,0,1,1,1,1,true,true,0,0,a1|b1,41,0,0,2,0,992,15604192026019962344,15644363457574742506,true,true|true|true|true|true|true|true|true,true,true
C,5231,px1,joint-participation,2009112456986624,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,11401383324687777968,15116831220679651501,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,forward-traversal-return,2009112468520960,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,17148875841693623511,7228235445678754429,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,reverse-traversal-return,2009112469569536,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,14446223686556351795,15486059483362690317,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,correlation-without-traversal,2009112470618112,0,0,0,0,1,1,false,false,0,0,a2|b2,370,0,0,12,2,992,13704098551717220624,11561011793590019791,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,forward-return-blocked,2009112471666688,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,9295348159020078331,6667825877842337596,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,joint-traversal-return,2009112472715264,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,3663003769525398694,2447247256844297903,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,forward-with-wrong-way-observation,2009112473763840,1,0,6,0,2,1,true,false,2,0,a1|b2,452,2,0,16,1,992,471123648071899498,14215400266557391321,true,true|true|true|true|true|true|true|true,true,true
C,5231,px2,reverse-with-wrong-way-observation,2009112474812416,0,1,0,6,1,2,false,true,0,2,a2|b1,452,2,0,16,1,992,13373253024717119530,14385694082579697165,true,true|true|true|true|true|true|true|true,true,true
