family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
zero_delay_fanout_merge,reverse_input,production,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_cell_insertion,reference,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_cell_insertion,production,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_arrow_insertion,reference,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_arrow_insertion,production,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_physical_names,reference,true,true,false,true,37,0,true,0,0,de33710de425425059bf5e4c604b0b3f3979338e1725dba4dc1d6d9af5e85426,false
zero_delay_fanout_merge,reverse_physical_names,production,true,true,false,true,37,0,true,0,0,de33710de425425059bf5e4c604b0b3f3979338e1725dba4dc1d6d9af5e85426,false
zero_delay_fanout_merge,random_physical_names,reference,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,random_physical_names,production,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_cycle,identity,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,identity,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_input,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_input,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_cell_insertion,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_cell_insertion,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_arrow_insertion,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_arrow_insertion,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_physical_names,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,reverse_physical_names,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,random_physical_names,reference,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
zero_delay_cycle,random_physical_names,production,true,true,true,true,21,0,true,0,0,47dee3cab46c5e1b0a718c3d1a73444c89a4e744ebf53cbd0570e0ed1bd9bc1a,true
