case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,partition_equal,target_fires,predicate_pass
81,4200000,6,phase_free_weak_lifetime,production,0@6:1/1/0/0/1;1@7:1/1/1/0/1;9@15:1/1/9/0/1;10@16:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,16,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
82,4200000,6,resistance_scales_lifetime,reference,0@6:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@15:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@16:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@25:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@26:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@45:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@46:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,46,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
82,4200000,6,resistance_scales_lifetime,production,0@6:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@15:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@16:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@25:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@26:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@45:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@46:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,46,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
83,4200000,6,traversal_cannot_alter_forgetting,reference,0@6:1/4/0/0/1|1/4/0/0/1;9@15:1/4/9/12571524225/1|1/4/9/0/1;39@45:1/1/9/1813536193/1|1/1/9/0/1;40@46:0/0/0/0/0|0/0/0/0/0,2f9835312cd3a7818903b3aa366f7df31aa4c54e165fdd55bf5ae4e2f0660dde,10,8,0,0,0,2,0,46,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
83,4200000,6,traversal_cannot_alter_forgetting,production,0@6:1/4/0/0/1|1/4/0/0/1;9@15:1/4/9/12571524225/1|1/4/9/0/1;39@45:1/1/9/1813536193/1|1/1/9/0/1;40@46:0/0/0/0/0|0/0/0/0/0,2f9835312cd3a7818903b3aa366f7df31aa4c54e165fdd55bf5ae4e2f0660dde,10,8,0,0,0,2,0,46,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
84,4200000,6,host_time_partition_invariance,reference,0@6:1/4/0/0/1;37@43:1/1/7/0/1;40@46:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,46,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
84,4200000,6,host_time_partition_invariance,production,0@6:1/4/0/0/1;37@43:1/1/7/0/1;40@46:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,46,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
85,4200000,6,local_death_blocks_stale_delivery,reference,0@6:1/1/0/0/1;15@21:0/0/0/0/0,187ac0d7a51daeab65b946a70398b7bfeab57877598e353d05ba9a90c6650208,2,1,0,0,0,1,0,21,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
85,4200000,6,local_death_blocks_stale_delivery,production,0@6:1/1/0/0/1;15@21:0/0/0/0/0,187ac0d7a51daeab65b946a70398b7bfeab57877598e353d05ba9a90c6650208,2,1,0,0,0,1,0,21,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
86,4200000,7,phase_free_weak_lifetime,reference,0@7:1/1/0/0/1;1@8:1/1/1/0/1;9@16:1/1/9/0/1;10@17:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,17,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
