profile,mechanics,index,context,stage,role,contact,arrow,coupling,resistance,participation
CORE1-B,production,2,980,after,outgoing,23526,24594,4294967296,3006477108,3538944000
CORE1-B,production,2,980,after,outgoing,23526,24595,-4294967296,3006477108,3538944000
CORE1-B,production,2,980,after,outgoing,23530,23530,4294967296,271012436378,3774873600
CORE1-B,production,2,980,consequence,direct,none,24594,4294967296,1717986919,2916000000
CORE1-B,production,2,980,consequence,direct,none,24595,-4294967296,1717986919,2916000000
CORE1-B,production,2,980,consequence,outgoing,23526,24594,4294967296,1717986919,2916000000
CORE1-B,production,2,980,consequence,outgoing,23526,24595,-4294967296,1717986919,2916000000
CORE1-B,production,2,980,consequence,outgoing,23530,23530,4294967296,269723946189,3110400000
CORE1-B,production,2,980,probe,direct,none,24602,4294967296,3006477108,3538944000
CORE1-B,production,2,980,probe,direct,none,24603,-4294967296,3006477108,3538944000
CORE1-B,production,2,980,probe,outgoing,23526,24602,4294967296,3006477108,3538944000
CORE1-B,production,2,980,probe,outgoing,23526,24603,-4294967296,3006477108,3538944000
CORE1-B,production,2,980,probe,outgoing,23530,23530,4294967296,264569985434,1433743821
CORE1-B,production,3,430,before,outgoing,10336,10336,4294967296,274877906944,0
CORE1-B,production,3,430,after,direct,none,24604,4294967296,3006477108,3538944000
CORE1-B,production,3,430,after,direct,none,24605,-4294967296,3006477108,3538944000
CORE1-B,production,3,430,after,outgoing,10332,24604,4294967296,3006477108,3538944000
CORE1-B,production,3,430,after,outgoing,10332,24605,-4294967296,3006477108,3538944000
CORE1-B,production,3,430,after,outgoing,10336,10336,4294967296,269723946189,3774873600
CORE1-B,production,3,430,consequence,direct,none,24604,4294967296,1717986919,2916000000
CORE1-B,production,3,430,consequence,direct,none,24605,-4294967296,1717986919,2916000000
CORE1-B,production,3,430,consequence,outgoing,10332,24604,4294967296,1717986919,2916000000
CORE1-B,production,3,430,consequence,outgoing,10332,24605,-4294967296,1717986919,2916000000
