case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
168,v2_anchor_identity_slot_permutation,7600001,3,production,true,true,true,,2,4,2,1,2,21,27,15,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
169,v2_anchor_only_control,7600001,4,reference,true,true,true,,0,0,0,0,0,0,0,14,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
169,v2_anchor_only_control,7600001,4,production,true,true,true,,0,0,0,0,0,0,0,14,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
170,gate_a_sign_symmetry,7600001,4,reference,true,true,true,,2,4,0,0,0,11,14,6,true,421f97454c89b07637029215f354d353db4c0e8bcfb00494037812b3d2152717,negative=CellId(3)/CellSlot(3);positive=CellId(4)/CellSlot(4)
170,gate_a_sign_symmetry,7600001,4,production,true,true,true,,2,4,0,0,0,11,14,6,true,421f97454c89b07637029215f354d353db4c0e8bcfb00494037812b3d2152717,negative=CellId(3)/CellSlot(3);positive=CellId(4)/CellSlot(4)
171,gate_b_no_consequence,7600001,4,reference,true,true,true,,2,4,0,2,4,17,20,14,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
171,gate_b_no_consequence,7600001,4,production,true,true,true,,2,4,0,2,4,17,20,14,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
172,gate_c_bounded_creation,7600001,4,reference,true,true,true,,2,4,0,2,4,35,50,14,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
172,gate_c_bounded_creation,7600001,4,production,true,true,true,,2,4,0,2,4,35,50,14,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
173,gate_d_orphan_cleanup_reuse,7600001,4,reference,true,true,true,,2,4,0,2,4,17,20,14,true,c79f2dbbeb681e18ed05869b830e10f0f01a8ef5ed6f238e83f4e59e9e9eccd8,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
