case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
23,5500000,2,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,2,ecef2ff4f496a16af6f2c0b721ff47135cd8c612b1acf8dae394fe0ea80ab9b4,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,c0a3c1c27c0e29d50017430c2ebdef52d5ec7a245ee4be088785a48d56404542,true,true,true,true,true
24,5500000,2,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1028,596d8306a5e8d90479b12f973fc1fc440e003269522eb68dab6152a018ea33a0,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,9f6ce9072350e11c03e75db7d890dafca9551bee449f20aa02e8364cdb7c867a,true,true,true,true,true
24,5500000,2,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1028,596d8306a5e8d90479b12f973fc1fc440e003269522eb68dab6152a018ea33a0,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,7327b9d964b75a94cf904c86357ca97448f35dd23e15629a9c57e913b7deffac,true,true,true,true,true
25,5500000,2,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,24,7e01762ab5ebb0de2ef0a15590ee410a92cc786429766c3e8eaefe635e4181f0,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,6d64260c3532337534912668a98f1f310bed0c992f3b8614595004285f7c81af,true,true,true,true,true
25,5500000,2,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,24,7e01762ab5ebb0de2ef0a15590ee410a92cc786429766c3e8eaefe635e4181f0,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,b8ba074b6db77342a2c43768d8c80e370d031a546d27264601d32e9f30605873,true,true,true,true,true
26,5500000,2,repeated_supported,reference,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2050,41a747de76b31b99d1796281b27b09f64f5c05745ebedfefc0f14882a73c91f7,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,7154ea30304aedf17a327bfa37150268d6afc05fa354f64bbbdbcb9be3af64e0,true,true,true,true,true
26,5500000,2,repeated_supported,production,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2050,41a747de76b31b99d1796281b27b09f64f5c05745ebedfefc0f14882a73c91f7,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,7154ea30304aedf17a327bfa37150268d6afc05fa354f64bbbdbcb9be3af64e0,true,true,true,true,true
27,5500000,2,threshold_family,reference,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10002,3332caa5cee31ba238810ce2fef0a494bfff2b1c5ebc683ded4c6c5f6538360b,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,662ff88c3b8825e7bf0de444b35168c9de3ee3ea7cf64f259640a5314037b93c,true,true,true,true,true
27,5500000,2,threshold_family,production,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10002,3332caa5cee31ba238810ce2fef0a494bfff2b1c5ebc683ded4c6c5f6538360b,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,5a66933b503df7aa8b9f2d501fbe51e82b48ed22a60583594cca64aa38966590,true,true,true,true,true
28,5500000,2,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,42,b35e00236d866b43f24dbefcb96417b83b807aa215ffafc57225c8ed39bf2617,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,c08f620f39e5741737aee71ebad6b61a5681656f9331a3b51b9bfb411a392607,true,true,true,true,true
28,5500000,2,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,42,b35e00236d866b43f24dbefcb96417b83b807aa215ffafc57225c8ed39bf2617,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,979527279aa769e97f7f908f96fb14248bed09a4e45ad77627f3a9384992f850,true,true,true,true,true
29,5500000,2,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,2,6becb1a18c5246a8febe572e3bcb56d986edbaf615ce97242d5ed1aa0b8777c0,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,5ed51c926d36df7c87708dfcb1eb3b1934a5ddf5778eada189793456a2f9f5ef,true,true,true,true,true
29,5500000,2,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,2,6becb1a18c5246a8febe572e3bcb56d986edbaf615ce97242d5ed1aa0b8777c0,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,5ed51c926d36df7c87708dfcb1eb3b1934a5ddf5778eada189793456a2f9f5ef,true,true,true,true,true
30,5500000,2,recurrent_stability,reference,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,75,e545fc2cf1b9ecf32b52dc2c530a73ddc1e72ba09d47f8966d260c2b67207077,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,38d689501470b9eaaac60d979af93d35881c9ff2c30aa65a061f1032b2e30067,true,true,true,false,false
30,5500000,2,recurrent_stability,production,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,75,e545fc2cf1b9ecf32b52dc2c530a73ddc1e72ba09d47f8966d260c2b67207077,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,3034ed5baf648510bdf04fd12cfa6741a6d6b5028bacea347b6f5fcc91407aaa,true,true,true,false,false
